Measure.Date,Calib.Date,Exposure,Sample.ID,Treatment,Treatment.Group,Temperature,pH.MV,Salinity,Bottle.number1,Bottle.number2,Total.Alkalinity,TA.calc
20160316,20160314,Exposure1,Tank11,7.4,Mid,14.78,-28.6,27.3,NA,NA,NA,2601.157
20160316,20160314,Exposure1,Tank12,7,High,14.64,-11.6,27.3,NA,NA,NA,2442.017
20160316,20160314,Exposure1,Tank13,7.9,Ambient,14.11,-57.7,27.3,NA,NA,NA,2545.565
20160316,20160314,Exposure1,Tank14,7.4,Mid,14.06,-28.5,27.3,NA,NA,NA,2601.157
20160316,20160314,Exposure1,Tank15,7.9,Ambient,14,-57.7,27.3,NA,NA,NA,2545.565
20160316,20160314,Exposure1,Tank16,7,High,14.28,-11,27.3,NA,NA,NA,2442.017
20160317,20160317,Exposure1,Tank11,7.4,Mid,13.86,-29.2,27.4,129,130,NA,2601.157
20160317,20160317,Exposure1,Tank12,7,High,14.12,-10,27.4,131,132,2527.11,2442.017
20160317,20160317,Exposure1,Tank13,7.9,Ambient,14.06,-58,27.4,133,134,2595.85,2545.565
20160317,20160317,Exposure1,Tank14,7.4,Mid,14,-28.9,27.4,135,136,2724.75,2601.157
20160317,20160317,Exposure1,Tank15,7.9,Ambient,14.08,-57.7,27.3,137,138,2646.85,2545.565
20160317,20160317,Exposure1,Tank16,7,High,14.07,-8.3,27.4,139,140,NA,2442.017
20160319,20160319,Exposure1,Tank11,7.4,Mid,13.84,-28.2,25.8,157,158,2560.93,2601.157
20160319,20160319,Exposure1,Tank12,7,High,13.83,-7,25.9,159,160,2496.3,2442.017
20160319,20160319,Exposure1,Tank13,7.9,Ambient,13.84,-56.8,26.1,161,162,NA,2545.565
20160319,20160319,Exposure1,Tank14,7.4,Mid,13.84,-28.7,25.8,163,164,2565.39,2601.157
20160319,20160319,Exposure1,Tank15,7.9,Ambient,13.84,-57.1,26.2,165,166,2497.97,2545.565
20160319,20160319,Exposure1,Tank16,7,High,13.86,-7.8,25.8,167,168,2363.04,2442.017
20160321,20160321_2,Exposure1,Tank11,7.4,Mid,13.81,-27.1,26.7,201,202,2486.16,2601.157
20160321,20160321_2,Exposure1,Tank12,7,High,13.8,-5.5,26.7,203,204,2271.8,2442.017
20160321,20160321_2,Exposure1,Tank13,7.9,Ambient,13.84,-57.4,26.8,205,206,NA,2545.565
20160321,20160321_2,Exposure1,Tank14,7.4,Mid,13.82,-27.7,26.7,207,208,2506.65,2601.157
20160321,20160321_2,Exposure1,Tank15,7.9,Ambient,13.75,-57.7,26.7,209,210,2451.3,2545.565
20160321,20160321_2,Exposure1,Tank16,7,High,13.84,-7.3,26.7,211,212,2486.69,2442.017
20160326,20160326,Exposure1,Tank11,7.4,Mid,14.76,-30.1,27.1,213,214,NA,2601.157
20160326,20160326,Exposure1,Tank12,7,High,14.81,-8.6,27.2,215,216,NA,2442.017
20160326,20160326,Exposure1,Tank13,7.9,Ambient,14.35,-58.3,27.2,217,218,2441.59,2545.565
20160326,20160326,Exposure1,Tank14,7.4,Mid,14.83,-29.6,27.2,219,220,2553.56,2601.157
20160326,20160326,Exposure1,Tank15,7.9,Ambient,14.33,-58.6,27.2,221,222,NA,2545.565
20160326,20160326,Exposure1,Tank16,7,High,14.85,-8,27.2,223,224,2381.62,2442.017
20160401,20160401,Exposure1,Tank11,7.4,Mid,15.6,-39.2,25.4,7,8,NA,2601.157
20160401,20160401,Exposure1,Tank12,7,High,15.68,-14.7,25.5,9,10,NA,2442.017
20160401,20160401,Exposure1,Tank13,7.9,Ambient,15.29,-69,25.4,11,12,NA,2545.565
20160401,20160401,Exposure1,Tank14,7.4,Mid,15.61,-32.4,25.5,13,14,NA,2601.157
20160401,20160401,Exposure1,Tank15,7.9,Ambient,15.28,-68.8,25.3,15,16,NA,2545.565
20160401,20160401,Exposure1,Tank16,7,High,15.79,-14,25.5,17,18,NA,2442.017
20160729,20160729,Exposure2,Bin1,7.9,Ambient,19.15,-64.5,28.5,From Katherine,From Katherine,NA,2545.565
20160729,20160729,Exposure2,Bin2,7.9,Ambient,19.03,-65,28.5,From Katherine,From Katherine,NA,2545.565
20160729,20160729,Exposure2,Bin3,7.9,Ambient,19.02,-65.2,28.5,From Katherine,From Katherine,NA,2545.565
20160729,20160729,Exposure2,Bin4,7.9,Ambient,19.06,-65.3,28.5,From Katherine,From Katherine,NA,2545.565
20160729,20160729,Exposure2,Bin5,7.9,Ambient,19.07,-65.3,28.5,From Katherine,From Katherine,NA,2545.565
20160729,20160729,Exposure2,Bin6,7.9,Ambient,19,-65.4,28.5,From Katherine,From Katherine,NA,2545.565
20160729,20160729,Exposure2,Bin7,7.4,Mid,19.31,-41.5,28.5,From Katherine,From Katherine,NA,2601.157
20160729,20160729,Exposure2,Bin8,7.4,Mid,19.24,-41.3,28.5,From Katherine,From Katherine,NA,2601.157
20160729,20160729,Exposure2,Bin9,7.4,Mid,19.18,-41.3,28.5,From Katherine,From Katherine,NA,2601.157
20160729,20160729,Exposure2,Bin10,7.4,Mid,19.22,-41.5,28.5,From Katherine,From Katherine,NA,2601.157
20160729,20160729,Exposure2,Bin11,7.4,Mid,19.24,-41.2,28.5,From Katherine,From Katherine,NA,2601.157
20160729,20160729,Exposure2,Bin12,7.4,Mid,19.23,-41.4,28.5,From Katherine,From Katherine,NA,2601.157
20160802,20160802,Exposure2,Bin1,7.9,Ambient,18.2,-62.6,28.5,Bin.Date,Bin.Date,NA,2545.565
20160802,20160802,Exposure2,Bin2,7.9,Ambient,18.24,-63.2,28.6,Bin.Date,Bin.Date,NA,2545.565
20160802,20160802,Exposure2,Bin3,7.9,Ambient,18.13,-62.8,28.6,Bin.Date,Bin.Date,NA,2545.565
20160802,20160802,Exposure2,Bin4,7.9,Ambient,18.26,-62.7,28.6,Bin.Date,Bin.Date,NA,2545.565
20160802,20160802,Exposure2,Bin5,7.9,Ambient,18.21,-62.5,28.5,Bin.Date,Bin.Date,NA,2545.565
20160802,20160802,Exposure2,Bin6,7.9,Ambient,18.16,-62.6,28.5,Bin.Date,Bin.Date,NA,2545.565
20160802,20160802,Exposure2,Bin7,7.4,Mid,18.39,-32,28.6,Bin.Date,Bin.Date,NA,2601.157
20160802,20160802,Exposure2,Bin8,7.4,Mid,18.32,-31.3,28.6,Bin.Date,Bin.Date,NA,2601.157
20160802,20160802,Exposure2,Bin9,7.4,Mid,18.31,-30,28.6,Bin.Date,Bin.Date,NA,2601.157
20160802,20160802,Exposure2,Bin10,7.4,Mid,18.36,-30.4,28.6,Bin.Date,Bin.Date,NA,2601.157
20160802,20160802,Exposure2,Bin11,7.4,Mid,18.28,-31,28.6,Bin.Date,Bin.Date,NA,2601.157
20160802,20160802,Exposure2,Bin12,7.4,Mid,18.27,-30.3,28.6,Bin.Date,Bin.Date,NA,2601.157
20160803,20160802,Exposure2,Bin1,7.9,Ambient,19.01,-62.5,28.5,NA,NA,NA,2545.565
20160803,20160802,Exposure2,Bin2,7.9,Ambient,18.69,-61.9,28.6,NA,NA,NA,2545.565
20160803,20160802,Exposure2,Bin3,7.9,Ambient,18.93,-61.7,28.7,NA,NA,NA,2545.565
20160803,20160802,Exposure2,Bin4,7.9,Ambient,19.37,-61.3,28.6,NA,NA,NA,2545.565
20160803,20160802,Exposure2,Bin5,7.9,Ambient,19.19,-61.5,28.5,NA,NA,NA,2545.565
20160803,20160802,Exposure2,Bin6,7.9,Ambient,19.65,-61.5,28.8,NA,NA,NA,2545.565
20160803,20160802,Exposure2,Bin7,7.4,Mid,19.24,-40.3,28.5,NA,NA,NA,2601.157
20160803,20160802,Exposure2,Bin8,7.4,Mid,19.16,-39,28.6,NA,NA,NA,2601.157
20160803,20160802,Exposure2,Bin9,7.4,Mid,19.11,-38.9,28.5,NA,NA,NA,2601.157
20160803,20160802,Exposure2,Bin10,7.4,Mid,19.38,-38.3,28.7,NA,NA,NA,2601.157
20160803,20160802,Exposure2,Bin11,7.4,Mid,19.43,-38.9,28.6,NA,NA,NA,2601.157
20160803,20160802,Exposure2,Bin12,7.4,Mid,19.27,-38.1,28.6,NA,NA,NA,2601.157
20160805,20160805,Exposure2,Bin1,7.9,Ambient,17.81,-61.6,28.3,Bin.Date,Bin.Date,NA,2545.565
20160805,20160805,Exposure2,Bin2,7.9,Ambient,17.86,-61.8,28.3,Bin.Date,Bin.Date,NA,2545.565
20160805,20160805,Exposure2,Bin3,7.9,Ambient,17.81,-61.8,28.2,Bin.Date,Bin.Date,NA,2545.565
20160805,20160805,Exposure2,Bin4,7.9,Ambient,17.93,-61.5,28.4,Bin.Date,Bin.Date,NA,2545.565
20160805,20160805,Exposure2,Bin5,7.9,Ambient,17.93,-61.7,28.5,Bin.Date,Bin.Date,NA,2545.565
20160805,20160805,Exposure2,Bin6,7.9,Ambient,18.07,-61.4,28.5,Bin.Date,Bin.Date,NA,2545.565
20160805,20160805,Exposure2,Bin7,7.4,Mid,18.01,-38,28.4,Bin.Date,Bin.Date,NA,2601.157
20160805,20160805,Exposure2,Bin8,7.4,Mid,17.94,-39.8,28.5,Bin.Date,Bin.Date,NA,2601.157
20160805,20160805,Exposure2,Bin9,7.4,Mid,17.87,-40.2,28.4,Bin.Date,Bin.Date,NA,2601.157
20160805,20160805,Exposure2,Bin10,7.4,Mid,17.79,-40.3,28.4,Bin.Date,Bin.Date,NA,2601.157
20160805,20160805,Exposure2,Bin11,7.4,Mid,17.81,-41.1,28.5,Bin.Date,Bin.Date,NA,2601.157
20160805,20160805,Exposure2,Bin12,7.4,Mid,17.88,-40.2,28.6,Bin.Date,Bin.Date,NA,2601.157
20160808,20160808,Exposure2,Bin1,7.9,Ambient,17.58,-61.8,28.5,Bin.Date,Bin.Date,NA,2545.565
20160808,20160808,Exposure2,Bin2,7.9,Ambient,17.58,-61.8,28.5,Bin.Date,Bin.Date,NA,2545.565
20160808,20160808,Exposure2,Bin3,7.9,Ambient,17.54,-61.7,28.4,Bin.Date,Bin.Date,NA,2545.565
20160808,20160808,Exposure2,Bin4,7.9,Ambient,17.71,-61.8,28.5,Bin.Date,Bin.Date,NA,2545.565
20160808,20160808,Exposure2,Bin5,7.9,Ambient,17.65,-61.8,28.5,Bin.Date,Bin.Date,NA,2545.565
20160808,20160808,Exposure2,Bin6,7.9,Ambient,17.63,-61.7,28.5,Bin.Date,Bin.Date,NA,2545.565
20160808,20160808,Exposure2,Bin7,7.4,Mid,17.64,-38.4,28.5,Bin.Date,Bin.Date,NA,2601.157
20160808,20160808,Exposure2,Bin8,7.4,Mid,17.61,-38.3,28.5,Bin.Date,Bin.Date,NA,2601.157
20160808,20160808,Exposure2,Bin9,7.4,Mid,17.58,-37.1,28.5,Bin.Date,Bin.Date,NA,2601.157
20160808,20160808,Exposure2,Bin10,7.4,Mid,17.71,-38,28.5,Bin.Date,Bin.Date,NA,2601.157
20160808,20160808,Exposure2,Bin11,7.4,Mid,17.6,-38.8,28.5,Bin.Date,Bin.Date,NA,2601.157
20160808,20160808,Exposure2,Bin12,7.4,Mid,17.53,-38.9,28.5,Bin.Date,Bin.Date,NA,2601.157
20160810,20160808,Exposure2,Bin1,7.9,Ambient,18.86,-59.8,28.7,NA,NA,NA,2545.565
20160810,20160808,Exposure2,Bin2,7.9,Ambient,18.56,-60.3,28.6,NA,NA,NA,2545.565
20160810,20160808,Exposure2,Bin3,7.9,Ambient,18.65,-60.2,28.7,NA,NA,NA,2545.565
20160810,20160808,Exposure2,Bin4,7.9,Ambient,18.89,-59.6,28.7,NA,NA,NA,2545.565
20160810,20160808,Exposure2,Bin5,7.9,Ambient,18.71,-59.8,28.7,NA,NA,NA,2545.565
20160810,20160808,Exposure2,Bin6,7.9,Ambient,18.93,-60.1,28.7,NA,NA,NA,2545.565
20160810,20160808,Exposure2,Bin7,7.4,Mid,18.89,-38.3,28.7,NA,NA,NA,2601.157
20160810,20160808,Exposure2,Bin8,7.4,Mid,18.55,-37.5,28.7,NA,NA,NA,2601.157
20160810,20160808,Exposure2,Bin9,7.4,Mid,18.94,-36.7,28.7,NA,NA,NA,2601.157
20160810,20160808,Exposure2,Bin10,7.4,Mid,19.38,-35.5,28.8,NA,NA,NA,2601.157
20160810,20160808,Exposure2,Bin11,7.4,Mid,19.05,-37.1,28.7,NA,NA,NA,2601.157
20160810,20160808,Exposure2,Bin12,7.4,Mid,19.16,-36.8,28.8,NA,NA,NA,2601.157
20160815,20160815,Exposure2,Bin1,7.9,Ambient,18.34,-58.8,28.4,Bin.Date,Bin.Date,NA,2545.565
20160815,20160815,Exposure2,Bin2,7.9,Ambient,18.4,-59.6,28.4,Bin.Date,Bin.Date,NA,2545.565
20160815,20160815,Exposure2,Bin3,7.9,Ambient,18.37,-59.4,28.4,Bin.Date,Bin.Date,NA,2545.565
20160815,20160815,Exposure2,Bin4,7.9,Ambient,18.5,-59,28.4,Bin.Date,Bin.Date,NA,2545.565
20160815,20160815,Exposure2,Bin5,7.9,Ambient,18.52,-59.1,28.4,Bin.Date,Bin.Date,NA,2545.565
20160815,20160815,Exposure2,Bin6,7.9,Ambient,18.54,-59.6,28.4,Bin.Date,Bin.Date,NA,2545.565
20160815,20160815,Exposure2,Bin7,7.4,Mid,18.4,-35.5,28.4,Bin.Date,Bin.Date,NA,2601.157
20160815,20160815,Exposure2,Bin8,7.4,Mid,18.43,-34.5,28.4,Bin.Date,Bin.Date,NA,2601.157
20160815,20160815,Exposure2,Bin9,7.4,Mid,18.34,-33.6,28.3,Bin.Date,Bin.Date,NA,2601.157
20160815,20160815,Exposure2,Bin10,7.4,Mid,18.42,-33,28.3,Bin.Date,Bin.Date,NA,2601.157
20160815,20160815,Exposure2,Bin11,7.4,Mid,18.37,-33.5,28.3,Bin.Date,Bin.Date,NA,2601.157
20160815,20160815,Exposure2,Bin12,7.4,Mid,18.29,-32.7,28.3,Bin.Date,Bin.Date,NA,2601.157
20160819,20160819,Exposure2,Bin1,7.9,Ambient,19.23,-59.2,28.6,Bin.Date,Bin.Date,NA,2545.565
20160819,20160819,Exposure2,Bin2,7.9,Ambient,19.3,-60.3,28.4,Bin.Date,Bin.Date,NA,2545.565
20160819,20160819,Exposure2,Bin3,7.9,Ambient,19.14,-59.8,28.5,Bin.Date,Bin.Date,NA,2545.565
20160819,20160819,Exposure2,Bin4,7.9,Ambient,19.37,-59.8,28.6,Bin.Date,Bin.Date,NA,2545.565
20160819,20160819,Exposure2,Bin5,7.9,Ambient,19.24,-59.2,28.6,Bin.Date,Bin.Date,NA,2545.565
20160819,20160819,Exposure2,Bin6,7.9,Ambient,19.35,-59.6,28.6,Bin.Date,Bin.Date,NA,2545.565
20160819,20160819,Exposure2,Bin7,7.4,Mid,19.05,-36.4,28.7,Bin.Date,Bin.Date,NA,2601.157
20160819,20160819,Exposure2,Bin8,7.4,Mid,19.12,-36.6,28.6,Bin.Date,Bin.Date,NA,2601.157
20160819,20160819,Exposure2,Bin9,7.4,Mid,19.02,-36.6,28.5,Bin.Date,Bin.Date,NA,2601.157
20160819,20160819,Exposure2,Bin10,7.4,Mid,19.1,-36.2,28.5,Bin.Date,Bin.Date,NA,2601.157
20160819,20160819,Exposure2,Bin11,7.4,Mid,19.1,-36.3,28.4,Bin.Date,Bin.Date,NA,2601.157
20160819,20160819,Exposure2,Bin12,7.4,Mid,19.01,-34.9,28.4,Bin.Date,Bin.Date,NA,2601.157
20160821,20160819,Exposure2,Bin1,7.9,Ambient,18.36,-59.8,28.5,Bin.Date,Bin.Date,NA,2545.565
20160821,20160819,Exposure2,Bin2,7.9,Ambient,18.57,-60.9,28.5,Bin.Date,Bin.Date,NA,2545.565
20160821,20160819,Exposure2,Bin3,7.9,Ambient,18.31,-60.4,28.4,Bin.Date,Bin.Date,NA,2545.565
20160821,20160819,Exposure2,Bin4,7.9,Ambient,18.59,-60.2,28.5,Bin.Date,Bin.Date,NA,2545.565
20160821,20160819,Exposure2,Bin5,7.9,Ambient,18.55,-60.3,28.6,Bin.Date,Bin.Date,NA,2545.565
20160821,20160819,Exposure2,Bin6,7.9,Ambient,18.59,-60.8,28.6,Bin.Date,Bin.Date,NA,2545.565
20160821,20160819,Exposure2,Bin7,7.4,Mid,18.48,-21.9,28.4,Bin.Date,Bin.Date,NA,2601.157
20160821,20160819,Exposure2,Bin8,7.4,Mid,18.7,-21.9,28.6,Bin.Date,Bin.Date,NA,2601.157
20160821,20160819,Exposure2,Bin9,7.4,Mid,18.5,-21.6,28.4,Bin.Date,Bin.Date,NA,2601.157
20160821,20160819,Exposure2,Bin10,7.4,Mid,18.59,-20.5,28.6,Bin.Date,Bin.Date,NA,2601.157
20160821,20160819,Exposure2,Bin11,7.4,Mid,18.61,-20.9,28.4,Bin.Date,Bin.Date,NA,2601.157
20160821,20160819,Exposure2,Bin12,7.4,Mid,18.45,-20.3,28.4,Bin.Date,Bin.Date,NA,2601.157
