ID,scaffold,start,end,df_Initial.Treatment,df_Residuals,sumsq_Initial.Treatment,sumsq_Residuals,meansq_Initial.Treatment,meansq_Residuals,statistic_Initial.Treatment,statistic_Residuals,p.value_Initial.Treatment,p.value_Residuals
Scaffold_05:2307421-2307763,Scaffold_05,2307421,2307763,2,9,0.451350192718091,0.385609197141054,0.225675096359046,0.042845466349006,5.2671873033372,NA,0.0305839439575491,NA
Scaffold_14:5467154-5467345,Scaffold_14,5467154,5467345,2,9,0.185506332895799,0.15970744220227,0.0927531664478996,0.0177452713558077,5.22692296939956,NA,0.0311577915438357,NA
Scaffold_13:22572253-22572326,Scaffold_13,22572253,22572326,2,9,0.16646799588283,0.146038814960485,0.0832339979414149,0.0162265349956095,5.12949917921085,NA,0.032601655941106,NA
Scaffold_08:8002553-8002693,Scaffold_08,8002553,8002693,2,9,0.36608864339599,0.325344438844006,0.183044321697995,0.0361493820937785,5.06355326415104,NA,0.0336255616747824,NA
Scaffold_02:41360718-41360876,Scaffold_02,41360718,41360876,2,8,0.774670867042599,0.619826921144214,0.3873354335213,0.0774783651430268,4.9992721556046,NA,0.0390310667982834,NA
Scaffold_11:26583521-26583612,Scaffold_11,26583521,26583612,2,9,0.0667194397930399,0.064732282034416,0.03335971989652,0.00719247578160177,4.6381414285542,NA,0.0412663325289689,NA
Scaffold_14:22473443-22473557,Scaffold_14,22473443,22473557,2,9,0.0367499719091754,0.0357514076788618,0.0183749859545877,0.00397237863098464,4.62568845055766,NA,0.04152034382655,NA
Scaffold_01:88395172-88395200,Scaffold_01,88395172,88395200,2,9,0.193138354366724,0.188456526208367,0.096569177183362,0.0209396140231518,4.61179356394013,NA,0.0418060262293386,NA
Scaffold_04:12714271-12714332,Scaffold_04,12714271,12714332,2,9,0.0905759421484345,0.089616015093756,0.0452879710742173,0.00995733501041734,4.54820200654463,NA,0.0431445572279382,NA
Scaffold_01:60237055-60237175,Scaffold_01,60237055,60237175,2,9,1.53601606677285,1.58908736907356,0.768008033386424,0.176565263230395,4.34971193843644,NA,0.0476732990704858,NA
Scaffold_06:11130279-11130481,Scaffold_06,11130279,11130481,2,9,0.106331899106105,0.110470688587814,0.0531659495530526,0.0122745209542015,4.33140729087713,NA,0.0481195655908093,NA
Scaffold_05:41972963-41972995,Scaffold_05,41972963,41972995,2,7,0.0546318833147825,0.0407777728287081,0.0273159416573912,0.00582539611838687,4.6891131696904,NA,0.0510398160003155,NA
Scaffold_06:52589480-52589745,Scaffold_06,52589480,52589745,2,9,0.395583971029464,0.429108180670924,0.197791985514732,0.0476786867412138,4.14843610496846,NA,0.0528733949206429,NA
Scaffold_03:37947250-37947366,Scaffold_03,37947250,37947366,2,9,0.438580964999116,0.477044937896841,0.219290482499558,0.053004993099649,4.13716651348851,NA,0.0531845509273017,NA
Scaffold_03:43770248-43771423,Scaffold_03,43770248,43771423,2,9,0.296124476166578,0.325098939092201,0.148062238083289,0.0361221043435779,4.09893722345146,NA,0.0542568791060539,NA
Scaffold_13:21759365-21759484,Scaffold_13,21759365,21759484,2,9,0.0580268115745647,0.0637751129309407,0.0290134057872824,0.00708612365899341,4.09439732969658,NA,0.0543859710216328,NA
Scaffold_16:30137117-30137494,Scaffold_16,30137117,30137494,2,9,0.627601624460909,0.690810779919776,0.313800812230454,0.0767567533244196,4.08825020130992,NA,0.054561363501558,NA
Scaffold_16:23401848-23401921,Scaffold_16,23401848,23401921,2,9,0.98009457835719,1.09271465961201,0.490047289178595,0.12141273995689,4.03620978616081,NA,0.0560742473423295,NA
Scaffold_08:47928727-47928993,Scaffold_08,47928727,47928993,2,9,0.0651491343230176,0.0729771492269245,0.0325745671615088,0.00810857213632494,4.01730003924866,NA,0.0566366494417153,NA
Scaffold_16:5673764-5674027,Scaffold_16,5673764,5674027,2,9,0.0913439934483974,0.103271489815867,0.0456719967241987,0.0114746099795408,3.98026571758271,NA,0.0577582119045765,NA
Scaffold_14:41136195-41136633,Scaffold_14,41136195,41136633,2,9,0.248194923974968,0.281302489165396,0.124097461987484,0.0312558321294885,3.97037779936128,NA,0.0580622412473842,NA
Scaffold_17:12111730-12111794,Scaffold_17,12111730,12111794,2,9,0.682283765944897,0.774665192558047,0.341141882972449,0.0860739102842275,3.96335988275603,NA,0.0582792123500186,NA
Scaffold_01:55953492-55953560,Scaffold_01,55953492,55953560,2,9,0.247878941903002,0.282716353113656,0.123939470951501,0.0314129281237396,3.94549245658627,NA,0.0588361043304966,NA
Scaffold_18:10897553-10897630,Scaffold_18,10897553,10897630,2,9,0.0513707370937677,0.0586006779732229,0.0256853685468838,0.00651118644146921,3.94480618513637,NA,0.0588576234467233,NA
Scaffold_14:35871765-35871912,Scaffold_14,35871765,35871912,2,8,1.13626733114964,1.10869250284791,0.568133665574822,0.138586562855988,4.09948593764603,NA,0.0594853665969555,NA
Scaffold_03:30714017-30714083,Scaffold_03,30714017,30714083,2,9,0.368626711071636,0.432432323447487,0.184313355535818,0.0480480359386097,3.83602267887313,NA,0.0623937830166623,NA
Scaffold_06:4612639-4613070,Scaffold_06,4612639,4613070,2,9,1.0496002566624,1.23177468854404,0.524800128331202,0.136863854282671,3.83446842909531,NA,0.0624461597574304,NA
Scaffold_11:43884079-43884400,Scaffold_11,43884079,43884400,2,8,1.89917358095052,1.90111405846105,0.949586790475258,0.237639257307631,3.9959171781369,NA,0.0626277511369735,NA
Scaffold_17:15397798-15397871,Scaffold_17,15397798,15397871,2,7,1.17271229045038,0.973411772953089,0.586356145225188,0.139058824707584,4.21660506953219,NA,0.0628414498700463,NA
Scaffold_13:19133998-19134173,Scaffold_13,19133998,19134173,2,9,0.340839077507587,0.404093420992918,0.170419538753794,0.0448992689992132,3.79559717902713,NA,0.0637737365529309,NA
Scaffold_02:12433887-12433985,Scaffold_02,12433887,12433985,2,7,0.673828700643459,0.568490894260473,0.336914350321729,0.0812129848943532,4.1485281049577,NA,0.0648209842598185,NA
Scaffold_06:6095687-6095818,Scaffold_06,6095687,6095818,2,9,1.14733124317475,1.38480359700023,0.573665621587377,0.153867066333359,3.72831974546462,NA,0.0661539976518834,NA
Scaffold_12:49307259-49307465,Scaffold_12,49307259,49307465,2,9,0.33327541283009,0.407477411040932,0.166637706415045,0.0452752678934369,3.680546005984,NA,0.0679103550050612,NA
Scaffold_08:44124170-44124262,Scaffold_08,44124170,44124262,2,8,0.355972933517074,0.372202446496788,0.177986466758537,0.0465253058120985,3.82558402683843,NA,0.0682610444780071,NA
Scaffold_06:61557751-61557942,Scaffold_06,61557751,61557942,2,6,1.02815506337091,0.740734660957194,0.514077531685457,0.123455776826199,4.16406218405782,NA,0.0734320620032223,NA
Scaffold_14:3378325-3378369,Scaffold_14,3378325,3378369,2,8,0.249313630557524,0.271598760747297,0.124656815278762,0.0339498450934122,3.67179334502918,NA,0.0739013517664698,NA
Scaffold_07:42916572-42916976,Scaffold_07,42916572,42916976,2,9,0.35574677526064,0.458427326092316,0.17787338763032,0.0509363695658129,3.49207038402093,NA,0.0754205095482251,NA
Scaffold_14:27726345-27726469,Scaffold_14,27726345,27726469,2,9,0.217034167134667,0.281611577587602,0.108517083567333,0.0312901752875113,3.46808806822649,NA,0.076447404855385,NA
Scaffold_03:21694029-21694205,Scaffold_03,21694029,21694205,2,9,0.805060934538301,1.04468575733703,0.402530467269151,0.11607619525967,3.46781238279445,NA,0.0764593083992163,NA
Scaffold_03:21694482-21696104,Scaffold_03,21694482,21696104,2,9,0.515897518748292,0.670757596943152,0.257948759374146,0.0745286218825724,3.46106975895208,NA,0.0767511478863461,NA
Scaffold_09:19259508-19259593,Scaffold_09,19259508,19259593,2,9,0.0369856887898864,0.0488936127904021,0.0184928443949432,0.00543262364337801,3.40403562052097,NA,0.0792750112720921,NA
Scaffold_15:5534721-5534780,Scaffold_15,5534721,5534780,2,9,0.0372423956256512,0.0522853949300488,0.0186211978128256,0.00580948832556098,3.20530772579313,NA,0.0888999193698736,NA
Scaffold_01:85900620-85900809,Scaffold_01,85900620,85900809,2,9,0.504915202759013,0.715372267013984,0.252457601379507,0.0794858074459982,3.17613432499913,NA,0.0904304653258686,NA
Scaffold_13:28869551-28869570,Scaffold_13,28869551,28869570,2,8,0.747524973522712,0.91651426787731,0.373762486761356,0.114564283484664,3.26246955327391,NA,0.0920243305022291,NA
Scaffold_14:6536965-6537037,Scaffold_14,6536965,6537037,2,9,0.299010841452665,0.435891935037892,0.149505420726333,0.0484324372264325,3.08688617150034,NA,0.0953169758386922,NA
Scaffold_14:41137020-41137313,Scaffold_14,41137020,41137313,2,9,0.361246704813711,0.529061960425025,0.180623352406856,0.0587846622694473,3.07262720297592,NA,0.0961272934329713,NA
Scaffold_04:25608150-25608167,Scaffold_04,25608150,25608167,2,9,0.198960740648029,0.292328960907963,0.0994803703240147,0.0324809956564404,3.0627253972213,NA,0.0966949560901188,NA
Scaffold_14:35870952-35871559,Scaffold_14,35870952,35871559,2,9,0.507894488499201,0.75375584142527,0.2539472442496,0.0837506490472522,3.03218240262619,NA,0.0984719602961931,NA
Scaffold_15:17041865-17042056,Scaffold_15,17041865,17042056,2,9,0.0308949374072821,0.0460221488748758,0.015447468703641,0.00511357209720842,3.02087628960469,NA,0.0991398618164386,NA
Scaffold_03:50770730-50770871,Scaffold_03,50770730,50770871,2,9,0.451748541127793,0.674773856447142,0.225874270563896,0.0749748729385713,3.01266626685664,NA,0.099628335995724,NA
Scaffold_12:8490945-8491074,Scaffold_12,8490945,8491074,2,9,0.249193292367192,0.373309998619661,0.124596646183596,0.0414788887355179,3.00385690123143,NA,0.100155745170189,NA
Scaffold_15:17160223-17160387,Scaffold_15,17160223,17160387,2,8,0.11931636691274,0.153475986481139,0.05965818345637,0.0191844983101424,3.10970776988368,NA,0.100191981120278,NA
Scaffold_03:26956906-26956992,Scaffold_03,26956906,26956992,2,9,0.881980404858622,1.33095553476971,0.440990202429311,0.147883948307745,2.98200181612418,NA,0.101478997969265,NA
Scaffold_04:20181837-20181891,Scaffold_04,20181837,20181891,2,8,0.54783682524343,0.714468900229757,0.273918412621715,0.0893086125287196,3.06709963200502,NA,0.10263018438032,NA
Scaffold_01:24305566-24305684,Scaffold_01,24305566,24305684,2,9,0.565135354892472,0.858552620672396,0.282567677446236,0.0953947356302662,2.96208879430643,NA,0.102703313501646,NA
Scaffold_16:20084773-20084861,Scaffold_16,20084773,20084861,2,9,0.438705479647996,0.669940644381225,0.219352739823998,0.0744378493756917,2.94679039848281,NA,0.103656186332057,NA
Scaffold_13:9210320-9210475,Scaffold_13,9210320,9210475,2,8,0.0100775543736481,0.0133828508180406,0.00503877718682405,0.00167285635225507,3.01208001513794,NA,0.10588940610234,NA
Scaffold_12:34238971-34239015,Scaffold_12,34238971,34239015,2,8,0.142352554204277,0.194128039802561,0.0711762771021387,0.0242660049753201,2.93316832228992,NA,0.110793170144351,NA
Scaffold_12:21434021-21434105,Scaffold_12,21434021,21434105,2,9,0.56032966891593,0.895743798302497,0.280164834457965,0.0995270887002775,2.81496061139367,NA,0.112331704353451,NA
Scaffold_10:32724039-32724104,Scaffold_10,32724039,32724104,2,7,0.725931492967167,0.838757497757408,0.362965746483583,0.11982249967963,3.02919524675289,NA,0.112779290987086,NA
Scaffold_05:17496180-17496251,Scaffold_05,17496180,17496251,2,8,0.402335161566818,0.560497346475831,0.201167580783409,0.0700621683094789,2.87127255175447,NA,0.114839492325389,NA
Scaffold_05:2522708-2522859,Scaffold_05,2522708,2522859,2,9,0.107223708104071,0.174572561804983,0.0536118540520355,0.0193969513116648,2.76393198037234,NA,0.115926667739133,NA
Scaffold_14:11420633-11420830,Scaffold_14,11420633,11420830,2,9,0.192359976900653,0.315959174763983,0.0961799884503267,0.0351065749737759,2.73965741523267,NA,0.117686119160396,NA
Scaffold_04:64753669-64753693,Scaffold_04,64753669,64753693,2,9,0.0273119207997162,0.0452634379365125,0.0136559603998581,0.00502927088183472,2.71529625679584,NA,0.119484771452165,NA
Scaffold_01:51854871-51854949,Scaffold_01,51854871,51854949,2,9,0.131574818757596,0.220265801793461,0.065787409378798,0.0244739779770512,2.68805542934155,NA,0.121535998553683,NA
Scaffold_18:16499221-16499365,Scaffold_18,16499221,16499365,2,9,0.22483946909763,0.381132915844939,0.112419734548815,0.0423481017605488,2.65465817534103,NA,0.124109866705166,NA
Scaffold_11:38112029-38112257,Scaffold_11,38112029,38112257,2,9,0.0374647346730888,0.0638295094870753,0.0187323673365444,0.00709216772078615,2.64127528761657,NA,0.125159933810994,NA
Scaffold_01:55356641-55356678,Scaffold_01,55356641,55356678,2,7,1.05524462886954,1.32155400915211,0.527622314434771,0.188793429878874,2.79470697032881,NA,0.12818105540784,NA
Scaffold_03:49243062-49243155,Scaffold_03,49243062,49243155,2,6,0.761226368046762,0.777033170416017,0.380613184023381,0.12950552840267,2.93897248030946,NA,0.128893146459155,NA
