"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"240","GO:0001702",0.0324339421970918,0.997453963246686,2,11,"gastrulation with mouth forming second","BP"
"246","GO:0003429",0.0335133220436422,0.997322106364814,2,11,"growth plate cartilage chondrocyte morphogenesis","BP"
"239","GO:0001692",0.0256705912041124,1,1,1,"histamine metabolic process","BP"
"242","GO:0001893",0.0256705912041123,1,1,1,"maternal placenta development","BP"
"245","GO:0002262",0.025756502902174,1,1,1,"myeloid cell homeostasis","BP"
"255","GO:0006289",0.0256705912041124,1,1,1,"nucleotide-excision repair","BP"
"256","GO:0007283",0.0256705912041123,1,1,1,"spermatogenesis","BP"
"257","GO:0007520",0.0256705912041123,1,1,1,"myoblast fusion","BP"
"258","GO:0008104",0.0256705912041124,1,1,1,"protein localization","BP"
"260","GO:0009710",0.0256705912041124,1,1,1,"tropane alkaloid biosynthetic process","BP"
