"gene"	"adj.pval.treatment1"	"adj.pval.treatment2"	"adj.pval.treatment1_x_treatment2"
"PGEN_.00g275080"	6.43001698311917e-108	0.139255201277033	6.05792037953452e-244
"PGEN_.00g165230"	7.16758688557994e-17	0.149967444691797	6.35586328034082e-241
"PGEN_.00g086530"	0	3.87009116652035e-169	2.44008024665326e-199
"PGEN_.00g149640"	1.38677054382198e-07	6.01388082433149e-56	5.32340461854331e-148
"PGEN_.00g127230"	1.13574222047521e-11	9.07392821166048e-08	1.4219645468309e-91
"PGEN_.00g279140"	1.18777079513547e-16	3.37345096737783e-104	1.25437906418519e-90
"PGEN_.00g208580"	1.03136977839068e-38	0.314910735124238	3.8494403659649e-72
"PGEN_.00g316430"	3.0420745400588e-82	5.75112589640619e-22	1.25557186926522e-67
"PGEN_.00g284710"	1.23602227170897e-05	0.0060123210060919	3.74458183601611e-64
"PGEN_.00g104730"	0.000592312770877281	7.89564517961758e-08	8.41833900327538e-61
"PGEN_.00g345410"	1.02307055572594e-68	4.14603088324134e-07	5.68276820468256e-53
"PGEN_.00g322650"	0.00365354169520244	0.145911539572318	5.63900666906101e-51
"PGEN_.00g279150"	1.57528980879597e-181	1.95614019757677e-13	2.97778336483659e-44
"PGEN_.00g198010"	9.64008062951475e-218	5.46602432030074e-250	3.52517785171167e-36
"PGEN_.00g167890"	2.45422345256617e-17	1.94054698114293e-84	8.41240723396327e-36
"PGEN_.00g101030"	0.00193661836844924	3.96202213405499e-39	1.22921960666354e-35
"PGEN_.00g302860"	0.101061264865538	3.68653763384382e-38	2.88001769935698e-35
"PGEN_.00g049230"	3.51843214943228e-35	0.397248409939461	4.54706449003701e-34
"PGEN_.00g295480"	5.60559464634012e-41	0.411452458303515	1.64409321254238e-33
"PGEN_.00g211830"	4.01904499928186e-09	0.15880710215687	9.42502300001256e-33
"PGEN_.00g116710"	2.59268946275852e-83	1.47212029951078e-14	8.55872291008072e-32
"PGEN_.00g291910"	1.27059436128725e-182	0.786151097303722	1.38480073598601e-31
"PGEN_.00g140310"	4.17125095690759e-30	3.73305983521273e-29	2.09822654101435e-31
"PGEN_.00g277910"	4.5254471541642e-46	2.95627480949376e-11	1.47145743606294e-28
"PGEN_.00g068720"	3.7206938691062e-14	3.04824651422142e-09	6.4607005212228e-28
"PGEN_.00g126640"	2.17140615704825e-06	0.00231521284851464	7.71626634612031e-28
"PGEN_.00g097550"	7.05322613392785e-15	0.349760922881058	4.38801377538975e-27
"PGEN_.00g328960"	1.98231221812466e-06	1.2745391470121e-05	3.62843563289569e-26
"PGEN_.00g334600"	0.86150234943655	0.692808563674087	1.20697698338202e-25
"PGEN_.00g271690"	0.000327112843707849	9.81969973546555e-23	9.82623533233133e-23
"PGEN_.00g186170"	0.000152873753681959	0.561337931469331	3.25879607187475e-22
"PGEN_.00g342450"	1.40367055153237e-20	0.636084371320491	2.91219874256901e-20
"PGEN_.00g043790"	7.06995124504302e-28	4.24894266454276e-55	3.10546364728877e-20
"PGEN_.00g129780"	4.83736660831317e-28	0.0476599553158026	4.89774619225082e-20
"PGEN_.00g283380"	0.447411354781361	0.740749440320274	7.9268429812837e-20
"PGEN_.00g279730"	2.63800087567427e-15	0.748335708993681	1.38531835254799e-19
"PGEN_.00g036880"	9.69782695304373e-08	1.71331908483891e-09	5.00738589646284e-19
"PGEN_.00g231770"	5.26145303244884e-46	1.03829268871114e-23	6.87310962916746e-19
"PGEN_.00g049950"	1.87911576006574e-198	2.00715810045396e-95	1.68619423765051e-18
"PGEN_.00g074780"	1.64751441306265e-11	0.561359856154372	6.01294400175435e-18
"PGEN_.00g061770"	3.95366850561955e-07	3.07815951475433e-05	7.01874126642679e-18
"PGEN_.00g127570"	0.45186192210215	0.820101810707837	3.14395116475173e-17
"PGEN_.00g266260"	0.000350719441604581	0.968633101056069	3.41247688355424e-17
"PGEN_.00g342460"	2.11445939226256e-08	0.933939856797909	1.65613999537915e-16
"PGEN_.00g046010"	0.38722808213068	0.954466992566052	5.65097389656079e-16
"PGEN_.00g139570"	1.19743318569004e-07	0.000287743175805685	2.82253228439773e-15
"PGEN_.00g266700"	0.75354467171227	0.90380676294122	3.6793588092103e-14
"PGEN_.00g035080"	3.38493472583218e-27	0.973426373411381	5.3683857543841e-14
"PGEN_.00g077870"	0.00154012900867724	0.476213785855516	5.37665391455005e-14
"PGEN_.00g044020"	0.0291723487286201	0.149967444691797	6.3944289331898e-14
"PGEN_.00g337850"	0.149642756996541	0.717104279031869	9.09693611676453e-14
"PGEN_.00g003320"	2.91715424921727e-14	0.0919591737758477	1.31809529355579e-13
"PGEN_.00g285690"	0.0116750306645245	0.147138867384583	1.7320625054849e-13
"PGEN_.00g284080"	1.51138215038351e-05	0.698748726025852	2.16309519682951e-13
"PGEN_.00g332240"	2.45516206544044e-05	0.859597413096865	3.32841429608373e-13
"PGEN_.00g232340"	3.76913784824275e-12	0.0125246904800798	2.78552848049891e-12
"PGEN_.00g311750"	4.57000090505302e-09	0.00027198764726015	3.74688416315205e-12
"PGEN_.00g271680"	4.42262010123756e-14	0.000485084221402946	4.08880574255561e-12
"PGEN_.00g034500"	0.000190624302300185	0.395430148637166	5.02026203383189e-12
"PGEN_.00g017070"	0.334712851533845	6.19417157666832e-07	7.91689619952913e-12
"PGEN_.00g139560"	0.000313529746738533	0.123737982422903	1.91809658133796e-11
"PGEN_.00g316040"	4.82543743380373e-17	9.07392821166048e-08	1.91809658133796e-11
"PGEN_.00g038260"	0.0912155126747019	1.49493319012682e-39	2.32085496916331e-11
"PGEN_.00g069610"	0.000144644115395024	0.00282750347505024	2.59508908651369e-11
"PGEN_.00g348630"	0.402743195613688	1.72188312378244e-07	2.72033730564567e-11
"PGEN_.00g139540"	4.07777145671402e-09	0.156145790550324	3.57404847000573e-11
"PGEN_.00g050170"	0.0122988265832504	0.735261932419261	4.77101314052893e-11
"PGEN_.00g185930"	2.67815699025227e-52	7.45174369366425e-19	8.2690094718429e-11
"PGEN_.00g150000"	1.11744811093604e-06	4.02670968014434e-11	2.4880437051519e-10
"PGEN_.00g190430"	1.78042371068993e-06	5.43751877981233e-09	7.13610149754777e-10
"PGEN_.00g004460"	0.461195392686506	0.314910735124238	1.15792760215324e-09
"PGEN_.00g213350"	0.359930006418995	1.76493897431915e-20	1.16242473609187e-09
"PGEN_.00g076180"	4.50704695633396e-05	0.677303399392791	2.49134297273664e-09
"PGEN_.00g017320"	0.0134026777318015	1.27753824225953e-09	3.14985863888405e-09
"PGEN_.00g305680"	0.0153161923027104	0.191794819458757	3.49365845767882e-09
"PGEN_.00g080870"	0.0145382405460513	0.237955633026324	3.65376527610571e-09
"PGEN_.00g263790"	0.482081601196047	0.581243406817477	3.82882964019241e-09
"PGEN_.00g242750"	0.00464502685265674	0.00181312170258801	5.37189771607897e-09
"PGEN_.00g160750"	0.0790594913016486	0.0202982527374641	1.05841343767528e-08
"PGEN_.00g252700"	1.84444702566956e-06	0.190198447299144	1.11918630034627e-08
"PGEN_.00g207530"	0.157730274205583	0.615909473364577	1.16310532916614e-08
"PGEN_.00g186290"	2.42634609159395e-08	0.453203400363245	1.72626831055716e-08
"PGEN_.00g070620"	0.00214147670492852	0.461720433589208	1.75185182866285e-08
"PGEN_.00g105850"	0.0948107266203017	4.2573204864287e-10	2.42909338209826e-08
"PGEN_.00g147090"	0.00242655024459626	0.944359184812895	3.2042151417379e-08
"PGEN_.00g073580"	0.265948515821603	0.0899267669831178	3.51522634915548e-08
"PGEN_.00g136060"	0.400590327704019	0.483620311487436	5.7609014882408e-08
"PGEN_.00g032730"	0.00238032440820857	0.48505209663346	6.24792851281504e-08
"PGEN_.00g057380"	0.310358717401567	7.30328226628941e-12	6.60436949101386e-08
"PGEN_.00g277700"	0.0159637628268782	0.0751775837562471	6.61732033403694e-08
"PGEN_.00g153440"	6.84830894587353e-19	2.59581582735686e-07	6.67787014226734e-08
"PGEN_.00g092010"	0.00105713928222354	0.663618016135141	7.75418638031046e-08
"PGEN_.00g228070"	0.529461758155989	0.954687641489269	7.78396200029728e-08
"PGEN_.00g234920"	6.47449880113536e-06	0.160760371715348	7.78396200029728e-08
"PGEN_.00g010610"	1.78042371068993e-06	0.00748487336493934	8.35385281140744e-08
"PGEN_.00g126370"	0.00161527440418979	0.367156657337824	9.11016322213949e-08
"PGEN_.00g316200"	5.41752365011091e-06	2.37651656173825e-11	9.52003756504195e-08
"PGEN_.00g203460"	0.431582303639129	0.825022722058483	1.11041739531638e-07
"PGEN_.00g282680"	0.123611990030402	0.709841482834932	1.21703162601358e-07
"PGEN_.00g273380"	0.0150709907652253	0.16625242825598	1.27906034153373e-07
"PGEN_.00g209090"	0.790509147890563	0.21791916374581	1.40904869395831e-07
"PGEN_.00g032670"	0.235853782108011	0.698748726025852	1.82876656883734e-07
"PGEN_.00g329510"	0.000263091564012033	0.627230084431166	1.8876844922012e-07
"PGEN_.00g333690"	4.38182916225311e-10	1.63792683341268e-05	3.01064396424771e-07
"PGEN_.00g017150"	8.62841046075522e-08	9.65784742381606e-52	3.19003448244804e-07
"PGEN_.00g062630"	0.00189961899382509	0.934560852240742	3.69347621092205e-07
"PGEN_.00g084590"	0.000789597213733952	2.67857614084234e-09	4.06322196838337e-07
"PGEN_.00g237520"	3.48503358596652e-10	5.31716454607257e-10	4.14206655053566e-07
"PGEN_.00g233360"	3.13137481516856e-15	5.01625188404943e-60	5.15525605229357e-07
"PGEN_.00g344620"	0.0495009108261607	0.52615177618353	5.15525605229357e-07
"PGEN_.00g010910"	0.826546754772649	0.000144408749743792	5.34489726903107e-07
"PGEN_.00g123920"	0.229018773290524	0.878677872912182	5.8266820716032e-07
"PGEN_.00g349440"	0.0351908077209877	0.43070614985613	8.07398056489326e-07
"PGEN_.00g008090"	0.620036758721446	0.0145249351214515	8.29525488754928e-07
"PGEN_.00g288770"	0.00369082061083786	0.801460375859917	9.22764142417359e-07
"PGEN_.00g304250"	0.00993253798745698	0.314910735124238	1.03548926889551e-06
