"gene"	"adj.pval.Initial.Treatment"
"PGEN_.00g296400"	0.00083775306604413
"PGEN_.00g017690"	0.000847311807461822
"PGEN_.00g001210"	0.000848594268096208
"PGEN_.00g129410"	0.000851413441729168
"PGEN_.00g258530"	0.000851413441729168
"PGEN_.00g312470"	0.00085608642825549
"PGEN_.00g223090"	0.000873189170621104
"PGEN_.00g075500"	0.000874393387917551
"PGEN_.00g112520"	0.000887682844854222
"PGEN_.00g151020"	0.000887682844854222
"PGEN_.00g337730"	0.000896307859988401
"PGEN_.00g024380"	0.000904262106090486
"PGEN_.00g313420"	0.000930854321288478
"PGEN_.00g036960"	0.000936384291370596
"PGEN_.00g232510"	0.000945502560712184
"PGEN_.00g150040"	0.000957338737603362
"PGEN_.00g221570"	0.000969528931924037
"PGEN_.00g270020"	0.000984166166334832
"PGEN_.00g152680"	0.000993825865799278
"PGEN_.00g015290"	0.00105436758310828
"PGEN_.00g064750"	0.00105550473109118
"PGEN_.00g210310"	0.00105743124963162
"PGEN_.00g006980"	0.00105946038625794
"PGEN_.00g270160"	0.00107551370828343
"PGEN_.00g213480"	0.00108572597306578
"PGEN_.00g043510"	0.00109597280976978
"PGEN_.00g316050"	0.00110391061610272
"PGEN_.00g210030"	0.00112714120635058
"PGEN_.00g228200"	0.00112777995667224
"PGEN_.00g211860"	0.00114109516336217
"PGEN_.00g011310"	0.00114806025666238
"PGEN_.00g232990"	0.00119879237705354
"PGEN_.00g280060"	0.00120107923955663
"PGEN_.00g142670"	0.00120853203609894
"PGEN_.00g189180"	0.00120917991570878
"PGEN_.00g047430"	0.00121696165227039
"PGEN_.00g201560"	0.00122288402018428
"PGEN_.00g228650"	0.00122778207585526
"PGEN_.00g214470"	0.00125659838375365
"PGEN_.00g252550"	0.00126950231756267
"PGEN_.00g126230"	0.00130612959043376
"PGEN_.00g310690"	0.00133790469207384
"PGEN_.00g332640"	0.0013614762969648
"PGEN_.00g288100"	0.00137144142827278
"PGEN_.00g004460"	0.0013724277259478
"PGEN_.00g029240"	0.00138516887865956
"PGEN_.00g240490"	0.00138516887865956
"PGEN_.00g270000"	0.00140328942997449
"PGEN_.00g199580"	0.00140379078348098
"PGEN_.00g344620"	0.00143194241061044
"PGEN_.00g116570"	0.00143383270174351
"PGEN_.00g183880"	0.00145362095416388
"PGEN_.00g029700"	0.00145466967087365
"PGEN_.00g254310"	0.00145539044883478
"PGEN_.00g075060"	0.00145983635246492
"PGEN_.00g127570"	0.00148815595400645
"PGEN_.00g232010"	0.00149124033449016
"PGEN_.00g024790"	0.00150192076552886
"PGEN_.00g312560"	0.00150474777546081
"PGEN_.00g034240"	0.00151800002675283
"PGEN_.00g220380"	0.00151860438364893
"PGEN_.00g097230"	0.00152554823005155
"PGEN_.00g275790"	0.00153831413218179
"PGEN_.00g051980"	0.00158391467717035
"PGEN_.00g065830"	0.00158575748269125
"PGEN_.00g073490"	0.00159408602312045
"PGEN_.00g271680"	0.00159803007432835
"PGEN_.00g212100"	0.0015986126710515
"PGEN_.00g114100"	0.00162010673441211
"PGEN_.00g170240"	0.00163691860084867
"PGEN_.00g277400"	0.00164081357245737
"PGEN_.00g333860"	0.00164081357245737
"PGEN_.00g305240"	0.00164122472593594
"PGEN_.00g303970"	0.00164700088306915
"PGEN_.00g124930"	0.00164956475181678
"PGEN_.00g072850"	0.00164999571384797
"PGEN_.00g010400"	0.00165313302408771
"PGEN_.00g046300"	0.00168660134020551
"PGEN_.00g077650"	0.00169430397599379
"PGEN_.00g004670"	0.00170231775388376
"PGEN_.00g139530"	0.00170231775388376
"PGEN_.00g177130"	0.00172578149988469
"PGEN_.00g110790"	0.00172886909525002
"PGEN_.00g284740"	0.00172886909525002
"PGEN_.00g133730"	0.00174287492304289
"PGEN_.00g285350"	0.0017543494839472
"PGEN_.00g029440"	0.00178076283980567
"PGEN_.00g104730"	0.00179852130522763
"PGEN_.00g234420"	0.00179852130522763
"PGEN_.00g029460"	0.00182775643163546
"PGEN_.00g078360"	0.00185602944101051
"PGEN_.00g266090"	0.00189208150661591
"PGEN_.00g009970"	0.00193685584986054
"PGEN_.00g108510"	0.00193994181029015
"PGEN_.00g323390"	0.00194986320815976
"PGEN_.00g198490"	0.00195290606395129
"PGEN_.00g006120"	0.00198515945663633
"PGEN_.00g039410"	0.00207220286911339
"PGEN_.00g066340"	0.00207220286911339
"PGEN_.00g322680"	0.00207220286911339
"PGEN_.00g328290"	0.00207425514691353
"PGEN_.00g185730"	0.00212671758134652
"PGEN_.00g082320"	0.00214390095040318
"PGEN_.00g149190"	0.00214390095040318
"PGEN_.00g303480"	0.00214390095040318
"PGEN_.00g009130"	0.00217775671213679
"PGEN_.00g163110"	0.00219174013891554
"PGEN_.00g089390"	0.00223805468906434
"PGEN_.00g163180"	0.00224491323548962
"PGEN_.00g186770"	0.00234505514511971
"PGEN_.00g162260"	0.00239737528038408
"PGEN_.00g170010"	0.00240179826072756
"PGEN_.00g012470"	0.00240483893861061
"PGEN_.00g076240"	0.00241701581512956
"PGEN_.00g265900"	0.00243968807988077
"PGEN_.00g229990"	0.00247012799389309
"PGEN_.00g103680"	0.00248091527647851
"PGEN_.00g241260"	0.00248091527647851
"PGEN_.00g321860"	0.00249322292032778
"PGEN_.00g325480"	0.00249504162574228
"PGEN_.00g337830"	0.00249504162574228
"PGEN_.00g240470"	0.00250009975185601
"PGEN_.00g310530"	0.0025135348075348
"PGEN_.00g123580"	0.00251865789130524
"PGEN_.00g013150"	0.00254400594863869
"PGEN_.00g108800"	0.00260730486849142
"PGEN_.00g045780"	0.00264281168985136
"PGEN_.00g310700"	0.00265601329187252
"PGEN_.00g122140"	0.00269293574895501
"PGEN_.00g137890"	0.00270915612667058
"PGEN_.00g245920"	0.00272832904894314
"PGEN_.00g113850"	0.00273663668277359
"PGEN_.00g190220"	0.00273676231616
"PGEN_.00g317380"	0.00276045929087716
"PGEN_.00g100210"	0.0028753726139771
"PGEN_.00g200690"	0.00288581648347042
"PGEN_.00g196320"	0.00294638790665066
"PGEN_.00g105220"	0.00294765169968482
"PGEN_.00g150430"	0.00297331081158807
"PGEN_.00g065610"	0.002977431815361
"PGEN_.00g142480"	0.0029812689274964
"PGEN_.00g211830"	0.00298653749416712
"PGEN_.00g008080"	0.00301229893613815
"PGEN_.00g046570"	0.00302388244123987
"PGEN_.00g185200"	0.00302388244123987
"PGEN_.00g099610"	0.00307524617117432
"PGEN_.00g118280"	0.00307524617117432
"PGEN_.00g294730"	0.00307524617117432
"PGEN_.00g040670"	0.00311201547400504
"PGEN_.00g221600"	0.00311201547400504
"PGEN_.00g126370"	0.00313905357096175
"PGEN_.00g187610"	0.00313905357096175
"PGEN_.00g146970"	0.00318747985101334
"PGEN_.00g258860"	0.00318747985101334
"PGEN_.00g006160"	0.00320462131782915
"PGEN_.00g209410"	0.00320762693715089
"PGEN_.00g311650"	0.00325517184920411
"PGEN_.00g003520"	0.00327403524449982
"PGEN_.00g067830"	0.00329070643914586
"PGEN_.00g162370"	0.00329070643914586
"PGEN_.00g050170"	0.00341193574831867
"PGEN_.00g327330"	0.0034186421403008
"PGEN_.00g017330"	0.00344188696900316
"PGEN_.00g102310"	0.00344188696900316
"PGEN_.00g034040"	0.00347553228753688
"PGEN_.00g072250"	0.00348695882207353
"PGEN_.00g207540"	0.00352946987819336
"PGEN_.00g009290"	0.00356555911361461
"PGEN_.00g337030"	0.00356555911361461
"PGEN_.00g158000"	0.00361066581977415
"PGEN_.00g010930"	0.00363819551072398
"PGEN_.00g252050"	0.0036548105075188
"PGEN_.00g194750"	0.00366153132766341
"PGEN_.00g103430"	0.00376895462020393
"PGEN_.00g213130"	0.00385941225621887
"PGEN_.00g084620"	0.00393400113509975
"PGEN_.00g089750"	0.00401625916217126
"PGEN_.00g177110"	0.00401837400587576
"PGEN_.00g114280"	0.00408791752435601
"PGEN_.00g088230"	0.00411801721391663
"PGEN_.00g313550"	0.0041432392002039
"PGEN_.00g071220"	0.00415470548786101
"PGEN_.00g261140"	0.004172581912488
"PGEN_.00g310760"	0.00419591417792321
"PGEN_.00g336930"	0.00419591417792321
"PGEN_.00g018310"	0.00425183596767076
"PGEN_.00g234810"	0.00425183596767076
"PGEN_.00g165700"	0.00427971479401529
"PGEN_.00g141080"	0.00429116951437944
"PGEN_.00g266590"	0.00429285735946536
"PGEN_.00g266080"	0.00436291323535289
"PGEN_.00g214940"	0.00437184680595969
"PGEN_.00g229450"	0.00440574031812995
"PGEN_.00g200080"	0.0044279971677942
"PGEN_.00g285690"	0.0044279971677942
"PGEN_.00g332130"	0.0044279971677942
"PGEN_.00g082240"	0.00451366251038838
"PGEN_.00g188100"	0.00454609723173339
"PGEN_.00g202150"	0.00458505112800134
"PGEN_.00g192200"	0.00459951754100277
"PGEN_.00g234360"	0.00459951754100277
"PGEN_.00g274370"	0.00459951754100277
"PGEN_.00g132290"	0.0046264571784423
"PGEN_.00g161120"	0.00463115786432649
"PGEN_.00g023480"	0.00467766694347866
"PGEN_.00g203210"	0.00468915908276667
"PGEN_.00g013900"	0.0047019107511183
"PGEN_.00g282290"	0.00471547174701881
"PGEN_.00g191430"	0.00476576729224552
"PGEN_.00g028850"	0.00477347200954945
"PGEN_.00g163580"	0.00480288421943588
"PGEN_.00g074750"	0.00481450971477687
"PGEN_.00g144270"	0.00487492037230281
"PGEN_.00g296790"	0.00491484680252299
"PGEN_.00g340710"	0.0049348063314849
"PGEN_.00g001960"	0.00493960696454359
"PGEN_.00g191680"	0.00493960696454359
"PGEN_.00g333540"	0.00493960696454359
"PGEN_.00g260920"	0.00494209797974508
"PGEN_.00g290100"	0.00495488605507554
"PGEN_.00g110260"	0.00498003684699226
"PGEN_.00g032210"	0.00498048073771658
"PGEN_.00g169710"	0.00500709581981073
"PGEN_.00g155110"	0.00501254548298612
"PGEN_.00g024510"	0.00501616202149627
"PGEN_.00g102080"	0.00501616202149627
"PGEN_.00g254610"	0.00503103564690451
"PGEN_.00g073700"	0.00504643064265526
"PGEN_.00g129800"	0.00504643064265526
"PGEN_.00g089070"	0.00505733439250003
"PGEN_.00g010490"	0.00508420420461255
"PGEN_.00g221450"	0.00508420420461255
"PGEN_.00g067070"	0.00509624761626081
"PGEN_.00g322890"	0.00509813263786205
"PGEN_.00g073180"	0.00511778979325496
"PGEN_.00g096980"	0.00511778979325496
"PGEN_.00g282540"	0.0051969913708693
"PGEN_.00g185910"	0.00521224006561108
"PGEN_.00g346830"	0.00523094112175005
"PGEN_.00g021750"	0.00523468383451473
"PGEN_.00g059520"	0.00523468383451473
"PGEN_.00g069550"	0.00523468383451473
"PGEN_.00g145480"	0.00523468383451473
"PGEN_.00g346080"	0.00530131365455437
"PGEN_.00g019530"	0.0053030155052786
"PGEN_.00g073940"	0.00532339593046996
"PGEN_.00g232730"	0.00537959816681116
"PGEN_.00g329570"	0.00537959816681116
"PGEN_.00g111490"	0.00540535126499831
"PGEN_.00g179000"	0.00540535126499831
"PGEN_.00g186830"	0.00540904361654022
"PGEN_.00g187350"	0.00555150386961456
"PGEN_.00g131130"	0.00556266898770701
"PGEN_.00g172450"	0.00561762434617141
"PGEN_.00g197380"	0.00566372743185178
"PGEN_.00g215020"	0.00569138614127775
"PGEN_.00g266920"	0.00569138614127775
"PGEN_.00g067680"	0.0056914547901146
"PGEN_.00g205500"	0.0056914547901146
"PGEN_.00g133410"	0.00571479846545118
"PGEN_.00g283500"	0.00571866277877926
"PGEN_.00g304920"	0.00576439157107399
"PGEN_.00g282270"	0.00576669610706583
"PGEN_.00g058670"	0.00587403125171008
"PGEN_.00g319520"	0.00587403125171008
"PGEN_.00g140480"	0.00593027984117392
"PGEN_.00g090080"	0.00600429859545884
"PGEN_.00g288380"	0.00600429859545884
"PGEN_.00g167410"	0.00608591077152272
"PGEN_.00g220930"	0.00608591077152272
"PGEN_.00g331190"	0.00608591077152272
"PGEN_.00g143830"	0.00611307613978244
"PGEN_.00g043930"	0.00615596333638407
"PGEN_.00g343550"	0.00617178174873491
"PGEN_.00g240870"	0.00641041437209527
"PGEN_.00g124130"	0.00642185095011276
"PGEN_.00g166170"	0.00642185095011276
"PGEN_.00g164170"	0.00642724015807538
"PGEN_.00g344450"	0.00642724015807538
"PGEN_.00g007800"	0.00650976285300451
"PGEN_.00g021320"	0.00650976285300451
"PGEN_.00g240250"	0.00650976285300451
"PGEN_.00g248460"	0.00650976285300451
"PGEN_.00g339370"	0.00650976285300451
"PGEN_.00g020180"	0.00653955968923837
"PGEN_.00g214480"	0.0065668768210003
"PGEN_.00g025760"	0.00660135960594823
"PGEN_.00g184800"	0.00660189908116991
"PGEN_.00g323220"	0.00660189908116991
"PGEN_.00g263540"	0.00662414381494936
"PGEN_.00g154060"	0.00665274001338221
"PGEN_.00g141980"	0.0066861949582509
"PGEN_.00g060340"	0.00670800111510959
"PGEN_.00g078310"	0.00677752411758388
"PGEN_.00g243570"	0.00692492487956478
"PGEN_.00g343280"	0.00698217699625116
"PGEN_.00g064050"	0.00701584370749123
"PGEN_.00g334010"	0.00715872963694356
"PGEN_.00g031730"	0.00724927972096933
"PGEN_.00g305400"	0.00724927972096933
"PGEN_.00g104460"	0.00734187573040842
"PGEN_.00g345530"	0.00734187573040842
"PGEN_.00g306160"	0.00737869199738131
"PGEN_.00g335230"	0.00737869199738131
"PGEN_.00g174900"	0.00751286615581799
"PGEN_.00g312440"	0.00755164391186482
"PGEN_.00g000280"	0.00756635905466832
"PGEN_.00g281370"	0.00757650292978195
"PGEN_.00g169720"	0.00758500111981911
"PGEN_.00g322180"	0.00758500111981911
"PGEN_.00g149600"	0.00760148277253181
"PGEN_.00g343370"	0.00765199514488391
"PGEN_.00g036870"	0.00767163844235911
"PGEN_.00g072260"	0.00767252090629021
"PGEN_.00g301880"	0.00775112022328963
"PGEN_.00g322160"	0.00804374441301353
"PGEN_.00g291470"	0.00806018695719323
"PGEN_.00g213200"	0.00806212546485104
"PGEN_.00g255570"	0.00826598284744896
"PGEN_.00g276480"	0.00826598284744896
"PGEN_.00g109230"	0.0083035964895565
"PGEN_.00g024810"	0.00832292680226095
"PGEN_.00g059470"	0.00834721026513931
"PGEN_.00g053860"	0.00851316777093629
"PGEN_.00g245170"	0.00854727831233679
"PGEN_.00g004830"	0.00860625266227681
"PGEN_.00g053400"	0.008716136839867
"PGEN_.00g122230"	0.00872412570182088
"PGEN_.00g217080"	0.00872412570182088
"PGEN_.00g207050"	0.00886142456287855
"PGEN_.00g010970"	0.00892808096549907
"PGEN_.00g340030"	0.00892808096549907
"PGEN_.00g281410"	0.00894439109381249
"PGEN_.00g081200"	0.00900307140515782
"PGEN_.00g155460"	0.00906078792387408
"PGEN_.00g184610"	0.0091048553800119
"PGEN_.00g282700"	0.00912300841662589
"PGEN_.00g170810"	0.00915438817006673
"PGEN_.00g134440"	0.00915769694515073
"PGEN_.00g067860"	0.00923811077352171
"PGEN_.00g331860"	0.00923811077352171
"PGEN_.00g183770"	0.00924243050848552
"PGEN_.00g150580"	0.00925596557293103
"PGEN_.00g291400"	0.00929635493601066
"PGEN_.00g251300"	0.00950222408547031
"PGEN_.00g237660"	0.00955272955213947
"PGEN_.00g146310"	0.00957290688924733
"PGEN_.00g252880"	0.0097034109922073
"PGEN_.00g114020"	0.00970355698796254
"PGEN_.00g296800"	0.00971677133803648
"PGEN_.00g019750"	0.0097547991310987
"PGEN_.00g206050"	0.00976593046327914
"PGEN_.00g166220"	0.00981796104151174
"PGEN_.00g291460"	0.00986932671648258
"PGEN_.00g232500"	0.00987898569424514
"PGEN_.00g234380"	0.00988668067784765
"PGEN_.00g287980"	0.00988668067784765
"PGEN_.00g154600"	0.00997317332329086
"PGEN_.00g291040"	0.0101009393190139
"PGEN_.00g281480"	0.0101917444965976
"PGEN_.00g125310"	0.0103902196401872
"PGEN_.00g087310"	0.0104354382588926
"PGEN_.00g070630"	0.0105710009237872
"PGEN_.00g001170"	0.0105803992721356
"PGEN_.00g264880"	0.0105803992721356
"PGEN_.00g303220"	0.0105863899607125
"PGEN_.00g104420"	0.0107053575466277
"PGEN_.00g116000"	0.0107053575466277
"PGEN_.00g134400"	0.0107053575466277
"PGEN_.00g172310"	0.0107456214444182
"PGEN_.00g105400"	0.010773743648868
"PGEN_.00g258640"	0.0107863128935382
"PGEN_.00g283030"	0.0107863128935382
"PGEN_.00g329090"	0.0107997058735327
"PGEN_.00g269450"	0.0109379463557108
"PGEN_.00g011990"	0.0109715671271235
"PGEN_.00g016850"	0.0109715671271235
"PGEN_.00g015010"	0.0109734019697411
"PGEN_.00g029370"	0.0109889403940831
"PGEN_.00g138260"	0.0109970290895783
"PGEN_.00g268850"	0.0110126059549492
"PGEN_.00g345620"	0.011024232915395
"PGEN_.00g156780"	0.0111247958908987
"PGEN_.00g026840"	0.011142860610983
"PGEN_.00g279860"	0.0115231121513499
"PGEN_.00g097440"	0.0115956655907472
"PGEN_.00g309640"	0.0115956655907472
"PGEN_.00g290470"	0.0115997419875274
"PGEN_.00g216290"	0.0116211393913051
"PGEN_.00g237520"	0.0116211393913051
"PGEN_.00g161100"	0.0117414336558623
"PGEN_.00g252900"	0.0117414336558623
"PGEN_.00g250560"	0.0118742873886016
"PGEN_.00g208680"	0.0118812498347795
"PGEN_.00g022420"	0.0118956499518356
"PGEN_.00g044020"	0.0121022333538897
"PGEN_.00g197510"	0.0121022333538897
"PGEN_.00g131630"	0.012140267745851
"PGEN_.00g137910"	0.0121433068832188
"PGEN_.00g289060"	0.0121473585427963
"PGEN_.00g108940"	0.0121679624590368
"PGEN_.00g131390"	0.0121679624590368
"PGEN_.00g253170"	0.0121679624590368
"PGEN_.00g264440"	0.0121690737133219
"PGEN_.00g010440"	0.0121805233753179
"PGEN_.00g164890"	0.0123361707381068
"PGEN_.00g111150"	0.0123704401064536
"PGEN_.00g084600"	0.0124540514908405
"PGEN_.00g206440"	0.0124612410906153
"PGEN_.00g063780"	0.0126078431604795
"PGEN_.00g257000"	0.0126188118486088
"PGEN_.00g040300"	0.0126611382099885
"PGEN_.00g118930"	0.0128670798612386
"PGEN_.00g331250"	0.0128670798612386
"PGEN_.00g290410"	0.0128870093966177
"PGEN_.00g278450"	0.0128999736212396
"PGEN_.00g062900"	0.0129700641358931
"PGEN_.00g102280"	0.0129971603932073
"PGEN_.00g258480"	0.013035422737309
"PGEN_.00g238800"	0.0131142384357454
"PGEN_.00g114260"	0.013177937566142
"PGEN_.00g200910"	0.0133719369857474
"PGEN_.00g213360"	0.013402559375916
"PGEN_.00g325420"	0.013402559375916
"PGEN_.00g009610"	0.0135598670216344
"PGEN_.00g101920"	0.0137053613268576
"PGEN_.00g240840"	0.0137458167009055
"PGEN_.00g207860"	0.0137743750561074
"PGEN_.00g004730"	0.0138078753702891
"PGEN_.00g196380"	0.0138495135434602
"PGEN_.00g220860"	0.0138495135434602
"PGEN_.00g033300"	0.0142437684501582
"PGEN_.00g237880"	0.0142437684501582
"PGEN_.00g021190"	0.0142970539426182
"PGEN_.00g281950"	0.0142970539426182
"PGEN_.00g293310"	0.0143429315342854
"PGEN_.00g065330"	0.0143849863554862
"PGEN_.00g086920"	0.0144519290536945
"PGEN_.00g259090"	0.014568960065082
"PGEN_.00g184970"	0.014827774725264
"PGEN_.00g204400"	0.0150918434071695
"PGEN_.00g203870"	0.0151119398273381
"PGEN_.00g090850"	0.0152872974058232
"PGEN_.00g276560"	0.0153192775545163
"PGEN_.00g294680"	0.0153854162361105
"PGEN_.00g164900"	0.0155839228494097
"PGEN_.00g143280"	0.0156294113284256
"PGEN_.00g169580"	0.0156915903586225
"PGEN_.00g003510"	0.0157830421700942
"PGEN_.00g013740"	0.0157830421700942
"PGEN_.00g088730"	0.0157830421700942
"PGEN_.00g122200"	0.0157830421700942
"PGEN_.00g316210"	0.0157830421700942
"PGEN_.00g098680"	0.015803801587587
"PGEN_.00g249460"	0.0158136868472288
"PGEN_.00g199310"	0.0158818315297962
"PGEN_.00g027760"	0.0159575575265258
"PGEN_.00g209710"	0.0160070021229726
"PGEN_.00g288520"	0.0161659301773615
"PGEN_.00g220140"	0.0163615121213297
"PGEN_.00g266640"	0.0164659094000219
"PGEN_.00g287220"	0.0166875825019754
"PGEN_.00g270640"	0.0167404001180037
"PGEN_.00g012570"	0.0167471913401758
"PGEN_.00g142060"	0.0167728713026381
"PGEN_.00g015190"	0.0168512137205149
"PGEN_.00g080030"	0.0168512137205149
"PGEN_.00g229320"	0.0169321725074119
"PGEN_.00g124010"	0.0171629614603482
"PGEN_.00g163480"	0.0172642021602653
"PGEN_.00g188770"	0.0172642021602653
"PGEN_.00g203940"	0.0173430870772133
"PGEN_.00g292910"	0.0174882865103586
"PGEN_.00g144590"	0.017509385562031
"PGEN_.00g304250"	0.017509385562031
"PGEN_.00g032670"	0.0176975692892726
"PGEN_.00g190480"	0.0176975692892726
"PGEN_.00g320670"	0.0176975692892726
"PGEN_.00g019010"	0.0177052976597404
"PGEN_.00g204020"	0.0177311747809665
"PGEN_.00g162340"	0.0177388337995832
"PGEN_.00g167050"	0.0177870243510396
"PGEN_.00g143900"	0.0184885775277529
"PGEN_.00g260980"	0.0187093248084284
"PGEN_.00g026990"	0.0187150791313117
"PGEN_.00g220560"	0.0188704756927024
"PGEN_.00g051640"	0.0190375784766863
"PGEN_.00g010610"	0.0190720591675936
"PGEN_.00g256300"	0.0190810916366995
"PGEN_.00g256920"	0.0192110534466545
"PGEN_.00g223280"	0.019293980008198
"PGEN_.00g131950"	0.0194054460145435
"PGEN_.00g085250"	0.0194512897482529
"PGEN_.00g341540"	0.0194645502647231
"PGEN_.00g306570"	0.0195249841419078
"PGEN_.00g114670"	0.019551309374528
"PGEN_.00g202890"	0.0196040222109377
"PGEN_.00g294060"	0.0196706675461314
"PGEN_.00g343270"	0.0196706675461314
"PGEN_.00g335510"	0.0198508721565194
"PGEN_.00g079730"	0.0198898921565678
"PGEN_.00g180280"	0.0199418154014222
"PGEN_.00g150980"	0.0201453214542523
"PGEN_.00g117930"	0.0202180209342654
"PGEN_.00g264510"	0.0202417152388732
"PGEN_.00g130840"	0.0202880038902309
"PGEN_.00g181650"	0.0203097008852227
"PGEN_.00g301440"	0.0203097008852227
"PGEN_.00g267530"	0.0203763871479527
"PGEN_.00g227450"	0.0203768414072884
"PGEN_.00g130200"	0.0204128751243749
"PGEN_.00g180330"	0.0204370331674079
"PGEN_.00g316180"	0.0204547093137921
"PGEN_.00g254500"	0.0205172900757074
"PGEN_.00g250220"	0.0205227427343947
"PGEN_.00g047370"	0.0205688131055487
"PGEN_.00g277570"	0.0205688131055487
"PGEN_.00g100120"	0.0205886841623471
"PGEN_.00g085160"	0.0205991623365792
"PGEN_.00g293300"	0.0208999438100561
"PGEN_.00g136080"	0.0210108466094753
"PGEN_.00g348140"	0.0211722944531325
"PGEN_.00g029490"	0.0211953304564852
"PGEN_.00g048200"	0.0212089068904458
"PGEN_.00g047810"	0.0215829151941581
"PGEN_.00g179010"	0.0216200900739689
"PGEN_.00g339050"	0.0217199745004831
"PGEN_.00g048990"	0.0220596039108808
"PGEN_.00g047870"	0.0221499459494709
"PGEN_.00g284530"	0.0221869346751273
"PGEN_.00g202810"	0.0221886303056142
"PGEN_.00g310720"	0.0221903398945358
"PGEN_.00g103540"	0.0222329085098959
"PGEN_.00g306490"	0.0223956752478639
"PGEN_.00g135910"	0.0224526622978944
"PGEN_.00g172350"	0.0227277821138499
"PGEN_.00g059620"	0.0227484708160178
"PGEN_.00g019720"	0.0227569100656747
"PGEN_.00g008540"	0.0227742710189179
"PGEN_.00g314880"	0.0228495673713596
"PGEN_.00g085920"	0.0228964623785091
"PGEN_.00g178010"	0.0229955989175547
"PGEN_.00g014030"	0.0232400574392344
"PGEN_.00g235940"	0.0232400574392344
"PGEN_.00g255960"	0.0232400574392344
"PGEN_.00g338570"	0.0232400574392344
"PGEN_.00g002820"	0.0233326452494087
"PGEN_.00g115600"	0.0234139890630281
"PGEN_.00g287550"	0.0234291419545904
"PGEN_.00g280190"	0.0234833408700217
"PGEN_.00g022820"	0.0234936815784206
"PGEN_.00g079460"	0.0234936815784206
"PGEN_.00g229340"	0.0234936815784206
"PGEN_.00g210200"	0.0236163648620971
"PGEN_.00g254520"	0.0237325541546926
"PGEN_.00g280890"	0.0239038782094696
"PGEN_.00g252730"	0.0240254187916064
"PGEN_.00g068710"	0.0241326574379283
"PGEN_.00g088170"	0.0242689836421531
"PGEN_.00g237340"	0.0242689836421531
"PGEN_.00g207900"	0.0247276740631065
"PGEN_.00g104990"	0.0248369892690595
"PGEN_.00g014000"	0.024985791620129
"PGEN_.00g109910"	0.024985791620129
"PGEN_.00g309920"	0.024985791620129
"PGEN_.00g222110"	0.0250773542572923
"PGEN_.00g133000"	0.0251147312779643
"PGEN_.00g135420"	0.0251147312779643
"PGEN_.00g192440"	0.0251366483520155
"PGEN_.00g047550"	0.0251544292298682
"PGEN_.00g266500"	0.0251544292298682
"PGEN_.00g324310"	0.0251638246185792
"PGEN_.00g336040"	0.0252589343063598
"PGEN_.00g218470"	0.0254000317172343
"PGEN_.00g212370"	0.0254429821039984
"PGEN_.00g030990"	0.025540238490982
"PGEN_.00g289750"	0.0256308851369217
"PGEN_.00g132660"	0.0257260539700795
"PGEN_.00g347770"	0.0259394727348006
"PGEN_.00g068240"	0.0260310553820584
"PGEN_.00g248840"	0.0260410238307563
"PGEN_.00g328690"	0.026043310191379
"PGEN_.00g064840"	0.02617074105378
"PGEN_.00g245940"	0.0263916575136289
"PGEN_.00g077940"	0.0266013403031208
"PGEN_.00g001870"	0.0266290311464602
"PGEN_.00g326830"	0.0266290311464602
"PGEN_.00g058830"	0.0268107903383396
"PGEN_.00g095720"	0.0270013992505823
"PGEN_.00g150350"	0.0270218072254672
"PGEN_.00g296430"	0.0270837029613175
"PGEN_.00g057410"	0.0270891993147637
"PGEN_.00g155160"	0.0271600138113562
"PGEN_.00g017320"	0.027290389182117
"PGEN_.00g065430"	0.027290389182117
"PGEN_.00g296760"	0.027290389182117
"PGEN_.00g309470"	0.027290389182117
"PGEN_.00g161760"	0.0275037280410658
"PGEN_.00g185860"	0.0276348882654301
"PGEN_.00g344020"	0.0276539648818002
"PGEN_.00g052100"	0.0276702061627932
"PGEN_.00g096180"	0.0276702061627932
"PGEN_.00g075620"	0.0277200829510784
"PGEN_.00g080210"	0.027830051397859
"PGEN_.00g099920"	0.0283020756388307
"PGEN_.00g285950"	0.0285598712436938
"PGEN_.00g004250"	0.0286726894313157
"PGEN_.00g271150"	0.0286726894313157
"PGEN_.00g273820"	0.028690788791718
"PGEN_.00g028230"	0.0288318216977825
"PGEN_.00g077420"	0.0288318216977825
"PGEN_.00g273900"	0.0292145317945086
"PGEN_.00g115930"	0.0292152304317416
"PGEN_.00g190390"	0.0292152304317416
"PGEN_.00g241080"	0.0292205689324285
"PGEN_.00g140520"	0.0292715678513652
"PGEN_.00g328310"	0.0293756392101225
"PGEN_.00g338710"	0.0293756392101225
"PGEN_.00g211640"	0.0294481830568513
"PGEN_.00g006410"	0.0296476457372322
"PGEN_.00g270670"	0.0297707224100823
"PGEN_.00g001430"	0.0300943717254717
"PGEN_.00g277280"	0.0300943717254717
"PGEN_.00g113820"	0.0302665566814522
"PGEN_.00g309800"	0.030292685510722
"PGEN_.00g308090"	0.0304031839488773
"PGEN_.00g142490"	0.030563241137947
"PGEN_.00g033920"	0.0305962795819373
"PGEN_.00g223380"	0.0305962795819373
"PGEN_.00g275090"	0.0305962795819373
"PGEN_.00g310390"	0.0310028700702693
"PGEN_.00g049760"	0.0311676105633931
"PGEN_.00g180660"	0.0311815673358643
"PGEN_.00g199100"	0.0312044163847259
"PGEN_.00g295060"	0.0313202246972422
"PGEN_.00g263460"	0.0315806787694687
