"","x"
"111","PGEN_.00g005950"
"112","PGEN_.00g005960"
"113","PGEN_.00g006010"
"114","PGEN_.00g006030"
"115","PGEN_.00g006120"
"116","PGEN_.00g006140"
"117","PGEN_.00g006160"
"118","PGEN_.00g006170"
"119","PGEN_.00g006280"
"120","PGEN_.00g006360"
"121","PGEN_.00g006410"
"122","PGEN_.00g006460"
"123","PGEN_.00g006720"
"124","PGEN_.00g006870"
"125","PGEN_.00g006890"
"126","PGEN_.00g006930"
"127","PGEN_.00g006970"
"128","PGEN_.00g006980"
"129","PGEN_.00g007230"
"130","PGEN_.00g007260"
"131","PGEN_.00g007300"
"132","PGEN_.00g007310"
"133","PGEN_.00g007340"
"134","PGEN_.00g007390"
"135","PGEN_.00g007400"
"136","PGEN_.00g007460"
"137","PGEN_.00g007520"
"138","PGEN_.00g007540"
"139","PGEN_.00g007550"
"140","PGEN_.00g007720"
"141","PGEN_.00g007910"
"142","PGEN_.00g007970"
"143","PGEN_.00g007980"
"144","PGEN_.00g008000"
"145","PGEN_.00g008040"
"146","PGEN_.00g008060"
"147","PGEN_.00g008070"
"148","PGEN_.00g008090"
"149","PGEN_.00g008130"
"150","PGEN_.00g008390"
"151","PGEN_.00g008400"
"152","PGEN_.00g008500"
"153","PGEN_.00g008520"
"154","PGEN_.00g008540"
"155","PGEN_.00g008560"
"156","PGEN_.00g008660"
"157","PGEN_.00g008670"
"158","PGEN_.00g008720"
"159","PGEN_.00g008730"
"160","PGEN_.00g008790"
"161","PGEN_.00g008940"
"162","PGEN_.00g008960"
"163","PGEN_.00g009010"
"164","PGEN_.00g009140"
"165","PGEN_.00g009190"
"166","PGEN_.00g009210"
"167","PGEN_.00g009280"
"168","PGEN_.00g009310"
"169","PGEN_.00g009320"
"170","PGEN_.00g009350"
"171","PGEN_.00g009410"
"172","PGEN_.00g009550"
"173","PGEN_.00g009610"
"174","PGEN_.00g009680"
"175","PGEN_.00g009750"
"176","PGEN_.00g009800"
"177","PGEN_.00g009870"
"178","PGEN_.00g009980"
"179","PGEN_.00g009990"
"180","PGEN_.00g010030"
"181","PGEN_.00g010060"
"182","PGEN_.00g010180"
"183","PGEN_.00g010200"
"184","PGEN_.00g010230"
"185","PGEN_.00g010250"
"186","PGEN_.00g010330"
"187","PGEN_.00g010340"
"188","PGEN_.00g010400"
"189","PGEN_.00g010430"
"190","PGEN_.00g010440"
"191","PGEN_.00g010450"
"192","PGEN_.00g010490"
"193","PGEN_.00g010500"
"194","PGEN_.00g010510"
"195","PGEN_.00g010550"
"196","PGEN_.00g010610"
"197","PGEN_.00g010620"
"198","PGEN_.00g010630"
"199","PGEN_.00g010650"
"200","PGEN_.00g010760"
"201","PGEN_.00g010780"
"202","PGEN_.00g010910"
"203","PGEN_.00g010930"
"204","PGEN_.00g010970"
"205","PGEN_.00g010980"
"206","PGEN_.00g011160"
"207","PGEN_.00g011170"
"208","PGEN_.00g011190"
"209","PGEN_.00g011350"
"210","PGEN_.00g011430"
"211","PGEN_.00g011530"
"212","PGEN_.00g011560"
"213","PGEN_.00g011580"
"214","PGEN_.00g011590"
"215","PGEN_.00g011600"
"216","PGEN_.00g011610"
"217","PGEN_.00g011620"
"218","PGEN_.00g011630"
"219","PGEN_.00g011650"
"220","PGEN_.00g011660"
"221","PGEN_.00g011710"
"222","PGEN_.00g011740"
"223","PGEN_.00g011770"
"224","PGEN_.00g011900"
"225","PGEN_.00g011990"
"226","PGEN_.00g012020"
"227","PGEN_.00g012030"
"228","PGEN_.00g012240"
"229","PGEN_.00g012420"
"230","PGEN_.00g012520"
"231","PGEN_.00g012560"
"232","PGEN_.00g012640"
"233","PGEN_.00g012780"
"234","PGEN_.00g012830"
"235","PGEN_.00g012910"
"236","PGEN_.00g013120"
"237","PGEN_.00g013150"
"238","PGEN_.00g013330"
"239","PGEN_.00g013340"
"240","PGEN_.00g013380"
"241","PGEN_.00g013410"
"242","PGEN_.00g013420"
"243","PGEN_.00g013440"
"244","PGEN_.00g013490"
"245","PGEN_.00g013500"
"246","PGEN_.00g013510"
"247","PGEN_.00g013550"
"248","PGEN_.00g013570"
"249","PGEN_.00g013580"
"250","PGEN_.00g013720"
"251","PGEN_.00g013850"
"252","PGEN_.00g013900"
"253","PGEN_.00g013930"
"254","PGEN_.00g013950"
"255","PGEN_.00g013960"
"256","PGEN_.00g013990"
"257","PGEN_.00g014000"
"258","PGEN_.00g014240"
"259","PGEN_.00g014370"
"260","PGEN_.00g014380"
"261","PGEN_.00g014450"
"262","PGEN_.00g014600"
"263","PGEN_.00g014630"
"264","PGEN_.00g014780"
"265","PGEN_.00g014820"
"266","PGEN_.00g014830"
"267","PGEN_.00g014920"
"268","PGEN_.00g014940"
"269","PGEN_.00g014990"
"270","PGEN_.00g015010"
"271","PGEN_.00g015030"
"272","PGEN_.00g015120"
"273","PGEN_.00g015130"
"274","PGEN_.00g015340"
"275","PGEN_.00g015460"
"276","PGEN_.00g015480"
"277","PGEN_.00g015490"
"278","PGEN_.00g015550"
"279","PGEN_.00g015600"
"280","PGEN_.00g015640"
"281","PGEN_.00g015740"
"282","PGEN_.00g015770"
"283","PGEN_.00g015780"
"284","PGEN_.00g015800"
"285","PGEN_.00g015880"
"286","PGEN_.00g015910"
"287","PGEN_.00g016080"
"288","PGEN_.00g016170"
"289","PGEN_.00g016220"
"290","PGEN_.00g016290"
"291","PGEN_.00g016320"
"292","PGEN_.00g016350"
"293","PGEN_.00g016500"
"294","PGEN_.00g016590"
"295","PGEN_.00g016700"
"296","PGEN_.00g016720"
"297","PGEN_.00g016740"
"298","PGEN_.00g016750"
"299","PGEN_.00g016770"
"300","PGEN_.00g016800"
"301","PGEN_.00g016860"
"302","PGEN_.00g016980"
"303","PGEN_.00g017050"
"304","PGEN_.00g017070"
"305","PGEN_.00g017150"
"306","PGEN_.00g017170"
"307","PGEN_.00g017190"
"308","PGEN_.00g017230"
"309","PGEN_.00g017240"
"310","PGEN_.00g017250"
"311","PGEN_.00g017270"
"312","PGEN_.00g017280"
"313","PGEN_.00g017300"
"314","PGEN_.00g017310"
"315","PGEN_.00g017320"
"316","PGEN_.00g017330"
"317","PGEN_.00g017430"
"318","PGEN_.00g017440"
"319","PGEN_.00g017460"
"320","PGEN_.00g017500"
"321","PGEN_.00g017640"
"322","PGEN_.00g017680"
"323","PGEN_.00g017720"
"324","PGEN_.00g017750"
"325","PGEN_.00g017810"
"326","PGEN_.00g017860"
"327","PGEN_.00g017900"
"328","PGEN_.00g017910"
"329","PGEN_.00g017930"
"330","PGEN_.00g017940"
"331","PGEN_.00g017970"
"332","PGEN_.00g017980"
"333","PGEN_.00g017990"
"334","PGEN_.00g018080"
"335","PGEN_.00g018100"
"336","PGEN_.00g018200"
"337","PGEN_.00g018230"
"338","PGEN_.00g018290"
"339","PGEN_.00g018310"
"340","PGEN_.00g018420"
"341","PGEN_.00g018470"
"342","PGEN_.00g018550"
"343","PGEN_.00g018670"
"344","PGEN_.00g018760"
"345","PGEN_.00g018960"
"346","PGEN_.00g018970"
"347","PGEN_.00g019010"
"348","PGEN_.00g019050"
"349","PGEN_.00g019150"
"350","PGEN_.00g019180"
"351","PGEN_.00g019200"
"352","PGEN_.00g019260"
"353","PGEN_.00g019300"
"354","PGEN_.00g019330"
"355","PGEN_.00g019390"
"356","PGEN_.00g019400"
"357","PGEN_.00g019450"
"358","PGEN_.00g019530"
"359","PGEN_.00g019550"
"360","PGEN_.00g019590"
"361","PGEN_.00g019610"
"362","PGEN_.00g019620"
"363","PGEN_.00g019640"
"364","PGEN_.00g019670"
"365","PGEN_.00g019700"
"366","PGEN_.00g019730"
"367","PGEN_.00g019750"
"368","PGEN_.00g019820"
"369","PGEN_.00g019960"
"370","PGEN_.00g019970"
"371","PGEN_.00g020050"
"372","PGEN_.00g020100"
"373","PGEN_.00g020200"
"374","PGEN_.00g020210"
"375","PGEN_.00g020220"
"376","PGEN_.00g020240"
"377","PGEN_.00g020270"
"378","PGEN_.00g020340"
"379","PGEN_.00g020350"
"380","PGEN_.00g020360"
"381","PGEN_.00g020370"
"382","PGEN_.00g020410"
"383","PGEN_.00g020420"
"384","PGEN_.00g020450"
"385","PGEN_.00g020490"
"386","PGEN_.00g020550"
"387","PGEN_.00g020630"
"388","PGEN_.00g020710"
"389","PGEN_.00g020810"
"390","PGEN_.00g020920"
"391","PGEN_.00g021040"
"392","PGEN_.00g021170"
"393","PGEN_.00g021210"
"394","PGEN_.00g021230"
"395","PGEN_.00g021320"
"396","PGEN_.00g021350"
"397","PGEN_.00g021400"
"398","PGEN_.00g021440"
"399","PGEN_.00g021480"
"400","PGEN_.00g021550"
"401","PGEN_.00g021570"
"402","PGEN_.00g021610"
"403","PGEN_.00g021630"
"404","PGEN_.00g021670"
"405","PGEN_.00g021710"
"406","PGEN_.00g021720"
"407","PGEN_.00g021750"
"408","PGEN_.00g021790"
"409","PGEN_.00g021820"
"410","PGEN_.00g021830"
"411","PGEN_.00g021870"
"412","PGEN_.00g021940"
"413","PGEN_.00g021950"
"414","PGEN_.00g022010"
"415","PGEN_.00g022020"
"416","PGEN_.00g022130"
"417","PGEN_.00g022180"
"418","PGEN_.00g022340"
"419","PGEN_.00g022390"
"420","PGEN_.00g022420"
"421","PGEN_.00g022690"
"422","PGEN_.00g022770"
"423","PGEN_.00g022810"
"424","PGEN_.00g022840"
"425","PGEN_.00g022870"
"426","PGEN_.00g022880"
"427","PGEN_.00g022890"
"428","PGEN_.00g022920"
"429","PGEN_.00g022940"
"430","PGEN_.00g022990"
"431","PGEN_.00g023040"
"432","PGEN_.00g023080"
"433","PGEN_.00g023100"
"434","PGEN_.00g023130"
"435","PGEN_.00g023200"
"436","PGEN_.00g023280"
"437","PGEN_.00g023370"
"438","PGEN_.00g023570"
"439","PGEN_.00g023750"
"440","PGEN_.00g023790"
"441","PGEN_.00g023910"
"442","PGEN_.00g023920"
"443","PGEN_.00g023950"
"444","PGEN_.00g023990"
"445","PGEN_.00g024100"
"446","PGEN_.00g024120"
"447","PGEN_.00g024190"
"448","PGEN_.00g024200"
"449","PGEN_.00g024320"
"450","PGEN_.00g024350"
"451","PGEN_.00g024380"
"452","PGEN_.00g024430"
"453","PGEN_.00g024490"
"454","PGEN_.00g024520"
"455","PGEN_.00g024600"
"456","PGEN_.00g024620"
"457","PGEN_.00g024790"
"458","PGEN_.00g024810"
"459","PGEN_.00g024860"
"460","PGEN_.00g024880"
"461","PGEN_.00g024960"
"462","PGEN_.00g025030"
"463","PGEN_.00g025050"
"464","PGEN_.00g025130"
"465","PGEN_.00g025140"
"466","PGEN_.00g025150"
"467","PGEN_.00g025170"
"468","PGEN_.00g025330"
"469","PGEN_.00g025370"
"470","PGEN_.00g025450"
"471","PGEN_.00g025460"
"472","PGEN_.00g025490"
"473","PGEN_.00g025530"
"474","PGEN_.00g025550"
"475","PGEN_.00g025670"
"476","PGEN_.00g025680"
"477","PGEN_.00g025690"
"478","PGEN_.00g025770"
"479","PGEN_.00g025780"
"480","PGEN_.00g025800"
"481","PGEN_.00g025820"
"482","PGEN_.00g025870"
"483","PGEN_.00g025880"
"484","PGEN_.00g025890"
"485","PGEN_.00g025940"
"486","PGEN_.00g026010"
"487","PGEN_.00g026020"
"488","PGEN_.00g026180"
"489","PGEN_.00g026190"
"490","PGEN_.00g026200"
"491","PGEN_.00g026380"
"492","PGEN_.00g026390"
"493","PGEN_.00g026840"
"494","PGEN_.00g026850"
"495","PGEN_.00g026890"
"496","PGEN_.00g026920"
"497","PGEN_.00g026990"
"498","PGEN_.00g027060"
"499","PGEN_.00g027140"
"500","PGEN_.00g027220"
"501","PGEN_.00g027240"
"502","PGEN_.00g027260"
"503","PGEN_.00g027290"
"504","PGEN_.00g027340"
"505","PGEN_.00g027350"
"506","PGEN_.00g027390"
"507","PGEN_.00g027430"
"508","PGEN_.00g027440"
"509","PGEN_.00g027450"
"510","PGEN_.00g027530"
"511","PGEN_.00g027540"
"512","PGEN_.00g027560"
"513","PGEN_.00g027760"
"514","PGEN_.00g027890"
"515","PGEN_.00g027930"
"516","PGEN_.00g028020"
"517","PGEN_.00g028030"
"518","PGEN_.00g028040"
"519","PGEN_.00g028090"
"520","PGEN_.00g028120"
"521","PGEN_.00g028150"
"522","PGEN_.00g028220"
"523","PGEN_.00g028270"
"524","PGEN_.00g028280"
"525","PGEN_.00g028430"
"526","PGEN_.00g028530"
"527","PGEN_.00g028800"
"528","PGEN_.00g029000"
"529","PGEN_.00g029160"
"530","PGEN_.00g029230"
"531","PGEN_.00g029240"
"532","PGEN_.00g029280"
"533","PGEN_.00g029300"
"534","PGEN_.00g029340"
"535","PGEN_.00g029370"
"536","PGEN_.00g029440"
"537","PGEN_.00g029450"
"538","PGEN_.00g029460"
"539","PGEN_.00g029510"
"540","PGEN_.00g029570"
"541","PGEN_.00g029590"
"542","PGEN_.00g029640"
"543","PGEN_.00g029700"
"544","PGEN_.00g029760"
"545","PGEN_.00g029770"
"546","PGEN_.00g030080"
"547","PGEN_.00g030100"
"548","PGEN_.00g030210"
"549","PGEN_.00g030310"
"550","PGEN_.00g030340"
"551","PGEN_.00g030650"
"552","PGEN_.00g030660"
"553","PGEN_.00g030670"
"554","PGEN_.00g030680"
"555","PGEN_.00g030880"
"556","PGEN_.00g030890"
"557","PGEN_.00g030920"
"558","PGEN_.00g030970"
"559","PGEN_.00g030980"
"560","PGEN_.00g030990"
"561","PGEN_.00g031060"
"562","PGEN_.00g031120"
"563","PGEN_.00g031190"
"564","PGEN_.00g031200"
"565","PGEN_.00g031220"
"566","PGEN_.00g031340"
"567","PGEN_.00g031500"
"568","PGEN_.00g031560"
"569","PGEN_.00g031590"
"570","PGEN_.00g031690"
"571","PGEN_.00g031780"
"572","PGEN_.00g031810"
"573","PGEN_.00g031850"
"574","PGEN_.00g031860"
"575","PGEN_.00g031870"
"576","PGEN_.00g031880"
"577","PGEN_.00g031920"
"578","PGEN_.00g032030"
"579","PGEN_.00g032050"
"580","PGEN_.00g032090"
"581","PGEN_.00g032130"
"582","PGEN_.00g032210"
"583","PGEN_.00g032260"
"584","PGEN_.00g032440"
"585","PGEN_.00g032450"
"586","PGEN_.00g032610"
"587","PGEN_.00g032640"
"588","PGEN_.00g032660"
"589","PGEN_.00g032670"
"590","PGEN_.00g032730"
"591","PGEN_.00g032930"
"592","PGEN_.00g033030"
"593","PGEN_.00g033060"
"594","PGEN_.00g033140"
"595","PGEN_.00g033310"
"596","PGEN_.00g033340"
"597","PGEN_.00g033350"
"598","PGEN_.00g033390"
"599","PGEN_.00g033520"
"600","PGEN_.00g033530"
"601","PGEN_.00g033560"
"602","PGEN_.00g033610"
"603","PGEN_.00g033680"
"604","PGEN_.00g033880"
"605","PGEN_.00g033950"
"606","PGEN_.00g033990"
"607","PGEN_.00g034000"
"608","PGEN_.00g034010"
"609","PGEN_.00g034040"
"610","PGEN_.00g034080"
"611","PGEN_.00g034170"
"612","PGEN_.00g034230"
"613","PGEN_.00g034240"
"614","PGEN_.00g034300"
"615","PGEN_.00g034340"
"616","PGEN_.00g034470"
"617","PGEN_.00g034480"
"618","PGEN_.00g034500"
"619","PGEN_.00g034510"
"620","PGEN_.00g034620"
"621","PGEN_.00g034630"
"622","PGEN_.00g034760"
"623","PGEN_.00g034800"
"624","PGEN_.00g034810"
"625","PGEN_.00g034830"
"626","PGEN_.00g034820"
"627","PGEN_.00g034900"
"628","PGEN_.00g034960"
"629","PGEN_.00g035010"
"630","PGEN_.00g035080"
"631","PGEN_.00g035130"
"632","PGEN_.00g035120"
"633","PGEN_.00g035160"
"634","PGEN_.00g035190"
"635","PGEN_.00g035200"
"636","PGEN_.00g035480"
"637","PGEN_.00g035490"
"638","PGEN_.00g035500"
"639","PGEN_.00g035540"
"640","PGEN_.00g035580"
"641","PGEN_.00g035700"
"642","PGEN_.00g035740"
"643","PGEN_.00g035760"
"644","PGEN_.00g035770"
"645","PGEN_.00g035840"
"646","PGEN_.00g035900"
"647","PGEN_.00g036060"
"648","PGEN_.00g036180"
"649","PGEN_.00g036200"
"650","PGEN_.00g036210"
"651","PGEN_.00g036250"
"652","PGEN_.00g036260"
"653","PGEN_.00g036290"
"654","PGEN_.00g036340"
"655","PGEN_.00g036640"
"656","PGEN_.00g036690"
"657","PGEN_.00g036720"
"658","PGEN_.00g036740"
"659","PGEN_.00g036790"
"660","PGEN_.00g036840"
"661","PGEN_.00g036870"
"662","PGEN_.00g036880"
"663","PGEN_.00g036910"
"664","PGEN_.00g036930"
"665","PGEN_.00g037000"
"666","PGEN_.00g037070"
"667","PGEN_.00g037080"
"668","PGEN_.00g037140"
"669","PGEN_.00g037150"
"670","PGEN_.00g037170"
"671","PGEN_.00g037180"
"672","PGEN_.00g037260"
"673","PGEN_.00g037270"
"674","PGEN_.00g037280"
"675","PGEN_.00g037350"
"676","PGEN_.00g037370"
"677","PGEN_.00g037380"
"678","PGEN_.00g037400"
"679","PGEN_.00g037590"
"680","PGEN_.00g037650"
"681","PGEN_.00g037860"
"682","PGEN_.00g037960"
"683","PGEN_.00g037970"
"684","PGEN_.00g038090"
"685","PGEN_.00g038110"
"686","PGEN_.00g038170"
"687","PGEN_.00g038210"
"688","PGEN_.00g038220"
"689","PGEN_.00g038230"
"690","PGEN_.00g038260"
"691","PGEN_.00g038480"
"692","PGEN_.00g038540"
"693","PGEN_.00g038710"
"694","PGEN_.00g038730"
"695","PGEN_.00g038750"
"696","PGEN_.00g038760"
"697","PGEN_.00g038850"
"698","PGEN_.00g038960"
"699","PGEN_.00g039110"
"700","PGEN_.00g039140"
"701","PGEN_.00g039320"
"702","PGEN_.00g039350"
"703","PGEN_.00g039370"
"704","PGEN_.00g039410"
"705","PGEN_.00g039580"
"706","PGEN_.00g039700"
"707","PGEN_.00g039750"
"708","PGEN_.00g039820"
"709","PGEN_.00g039830"
"710","PGEN_.00g039860"
"711","PGEN_.00g039870"
"712","PGEN_.00g039890"
"713","PGEN_.00g039910"
"714","PGEN_.00g039940"
"715","PGEN_.00g039930"
"716","PGEN_.00g040000"
"717","PGEN_.00g040040"
"718","PGEN_.00g040070"
"719","PGEN_.00g040100"
"720","PGEN_.00g040120"
"721","PGEN_.00g040160"
"722","PGEN_.00g040310"
"723","PGEN_.00g040320"
"724","PGEN_.00g040330"
"725","PGEN_.00g040340"
"726","PGEN_.00g040350"
"727","PGEN_.00g040360"
"728","PGEN_.00g040380"
"729","PGEN_.00g040390"
"730","PGEN_.00g040400"
"731","PGEN_.00g040410"
"732","PGEN_.00g040460"
"733","PGEN_.00g040510"
"734","PGEN_.00g040550"
"735","PGEN_.00g040570"
"736","PGEN_.00g040580"
"737","PGEN_.00g040610"
"738","PGEN_.00g040660"
"739","PGEN_.00g041120"
"740","PGEN_.00g041250"
"741","PGEN_.00g041390"
"742","PGEN_.00g041400"
"743","PGEN_.00g041420"
"744","PGEN_.00g041470"
"745","PGEN_.00g041490"
"746","PGEN_.00g041500"
"747","PGEN_.00g041510"
"748","PGEN_.00g041590"
"749","PGEN_.00g041680"
"750","PGEN_.00g041740"
"751","PGEN_.00g042150"
"752","PGEN_.00g042190"
"753","PGEN_.00g042250"
"754","PGEN_.00g042260"
"755","PGEN_.00g042350"
"756","PGEN_.00g042600"
"757","PGEN_.00g042660"
"758","PGEN_.00g042700"
"759","PGEN_.00g042720"
"760","PGEN_.00g042830"
"761","PGEN_.00g042940"
"762","PGEN_.00g042950"
"763","PGEN_.00g043030"
"764","PGEN_.00g043080"
"765","PGEN_.00g043110"
"766","PGEN_.00g043230"
"767","PGEN_.00g043240"
"768","PGEN_.00g043260"
"769","PGEN_.00g043300"
"770","PGEN_.00g043310"
"771","PGEN_.00g043330"
"772","PGEN_.00g043370"
"773","PGEN_.00g043410"
"774","PGEN_.00g043450"
"775","PGEN_.00g043470"
"776","PGEN_.00g043510"
"777","PGEN_.00g043540"
"778","PGEN_.00g043610"
"779","PGEN_.00g043640"
"780","PGEN_.00g043670"
"781","PGEN_.00g043710"
"782","PGEN_.00g043790"
"783","PGEN_.00g043820"
"784","PGEN_.00g043930"
"785","PGEN_.00g044020"
"786","PGEN_.00g044240"
"787","PGEN_.00g044450"
"788","PGEN_.00g044480"
"789","PGEN_.00g044590"
"790","PGEN_.00g044890"
"791","PGEN_.00g044930"
"792","PGEN_.00g044990"
"793","PGEN_.00g045020"
"794","PGEN_.00g045120"
"795","PGEN_.00g045200"
"796","PGEN_.00g045220"
"797","PGEN_.00g045230"
"798","PGEN_.00g045250"
"799","PGEN_.00g045260"
"800","PGEN_.00g045340"
"801","PGEN_.00g045530"
"802","PGEN_.00g045550"
"803","PGEN_.00g045680"
"804","PGEN_.00g045740"
"805","PGEN_.00g045780"
"806","PGEN_.00g045850"
"807","PGEN_.00g045860"
"808","PGEN_.00g045970"
"809","PGEN_.00g046010"
"810","PGEN_.00g046050"
"811","PGEN_.00g046060"
"812","PGEN_.00g046280"
"813","PGEN_.00g046310"
"814","PGEN_.00g046410"
"815","PGEN_.00g046530"
"816","PGEN_.00g046570"
"817","PGEN_.00g046620"
"818","PGEN_.00g046950"
"819","PGEN_.00g047000"
"820","PGEN_.00g047030"
"821","PGEN_.00g047370"
"822","PGEN_.00g047390"
"823","PGEN_.00g047430"
"824","PGEN_.00g047460"
"825","PGEN_.00g047470"
"826","PGEN_.00g047480"
"827","PGEN_.00g047550"
"828","PGEN_.00g047650"
"829","PGEN_.00g047680"
"830","PGEN_.00g047750"
"831","PGEN_.00g047760"
"832","PGEN_.00g047780"
"833","PGEN_.00g047850"
"834","PGEN_.00g047880"
"835","PGEN_.00g047940"
"836","PGEN_.00g047970"
"837","PGEN_.00g048080"
"838","PGEN_.00g048160"
"839","PGEN_.00g048200"
"840","PGEN_.00g048460"
"841","PGEN_.00g048540"
"842","PGEN_.00g048780"
"843","PGEN_.00g048880"
"844","PGEN_.00g049000"
"845","PGEN_.00g049020"
"846","PGEN_.00g049060"
"847","PGEN_.00g049210"
"848","PGEN_.00g049230"
"849","PGEN_.00g049510"
"850","PGEN_.00g049520"
"851","PGEN_.00g049620"
"852","PGEN_.00g049670"
"853","PGEN_.00g049680"
"854","PGEN_.00g049700"
"855","PGEN_.00g049720"
"856","PGEN_.00g049770"
"857","PGEN_.00g049800"
"858","PGEN_.00g049830"
"859","PGEN_.00g049910"
"860","PGEN_.00g049950"
"861","PGEN_.00g049960"
"862","PGEN_.00g049980"
"863","PGEN_.00g050150"
"864","PGEN_.00g050170"
"865","PGEN_.00g050180"
"866","PGEN_.00g050250"
"867","PGEN_.00g050270"
"868","PGEN_.00g050340"
"869","PGEN_.00g050410"
"870","PGEN_.00g050460"
"871","PGEN_.00g050480"
"872","PGEN_.00g050530"
"873","PGEN_.00g050570"
"874","PGEN_.00g050590"
"875","PGEN_.00g050670"
"876","PGEN_.00g050780"
"877","PGEN_.00g050800"
"878","PGEN_.00g050860"
"879","PGEN_.00g050890"
"880","PGEN_.00g050970"
"881","PGEN_.00g051040"
"882","PGEN_.00g051050"
"883","PGEN_.00g051110"
"884","PGEN_.00g051140"
"885","PGEN_.00g051150"
"886","PGEN_.00g051160"
"887","PGEN_.00g051170"
"888","PGEN_.00g051210"
"889","PGEN_.00g051240"
"890","PGEN_.00g051300"
"891","PGEN_.00g051310"
"892","PGEN_.00g051360"
"893","PGEN_.00g051370"
"894","PGEN_.00g051380"
"895","PGEN_.00g051410"
"896","PGEN_.00g051430"
"897","PGEN_.00g051440"
"898","PGEN_.00g051480"
"899","PGEN_.00g051490"
"900","PGEN_.00g051500"
"901","PGEN_.00g051530"
"902","PGEN_.00g051580"
"903","PGEN_.00g051640"
"904","PGEN_.00g051730"
"905","PGEN_.00g051720"
"906","PGEN_.00g051740"
"907","PGEN_.00g051880"
"908","PGEN_.00g051900"
"909","PGEN_.00g051950"
"910","PGEN_.00g052070"
"911","PGEN_.00g052100"
"912","PGEN_.00g052160"
"913","PGEN_.00g052180"
"914","PGEN_.00g052230"
"915","PGEN_.00g052410"
"916","PGEN_.00g052440"
"917","PGEN_.00g052530"
"918","PGEN_.00g052600"
"919","PGEN_.00g052630"
"920","PGEN_.00g052640"
"921","PGEN_.00g052660"
"922","PGEN_.00g052710"
"923","PGEN_.00g052730"
"924","PGEN_.00g052750"
"925","PGEN_.00g052840"
"926","PGEN_.00g052870"
"927","PGEN_.00g052890"
"928","PGEN_.00g052930"
"929","PGEN_.00g052950"
"930","PGEN_.00g053040"
"931","PGEN_.00g053070"
"932","PGEN_.00g053080"
