"","x"
"1","PGEN_.00g000090"
"2","PGEN_.00g000100"
"3","PGEN_.00g000180"
"4","PGEN_.00g000210"
"5","PGEN_.00g000220"
"6","PGEN_.00g000280"
"7","PGEN_.00g000300"
"8","PGEN_.00g000320"
"9","PGEN_.00g000350"
"10","PGEN_.00g000380"
"11","PGEN_.00g000390"
"12","PGEN_.00g000440"
"13","PGEN_.00g000450"
"14","PGEN_.00g000520"
"15","PGEN_.00g000590"
"16","PGEN_.00g000720"
"17","PGEN_.00g000860"
"18","PGEN_.00g001060"
"19","PGEN_.00g001070"
"20","PGEN_.00g001110"
"21","PGEN_.00g001140"
"22","PGEN_.00g001170"
"23","PGEN_.00g001200"
"24","PGEN_.00g001210"
"25","PGEN_.00g001260"
"26","PGEN_.00g001350"
"27","PGEN_.00g001430"
"28","PGEN_.00g001460"
"29","PGEN_.00g001480"
"30","PGEN_.00g001550"
"31","PGEN_.00g001730"
"32","PGEN_.00g001900"
"33","PGEN_.00g001930"
"34","PGEN_.00g001940"
"35","PGEN_.00g001960"
"36","PGEN_.00g002130"
"37","PGEN_.00g002460"
"38","PGEN_.00g002480"
"39","PGEN_.00g002580"
"40","PGEN_.00g002690"
"41","PGEN_.00g002850"
"42","PGEN_.00g002900"
"43","PGEN_.00g002930"
"44","PGEN_.00g002940"
"45","PGEN_.00g003010"
"46","PGEN_.00g003130"
"47","PGEN_.00g003160"
"48","PGEN_.00g003190"
"49","PGEN_.00g003200"
"50","PGEN_.00g003270"
"51","PGEN_.00g003280"
"52","PGEN_.00g003300"
"53","PGEN_.00g003320"
"54","PGEN_.00g003330"
"55","PGEN_.00g003360"
"56","PGEN_.00g003420"
"57","PGEN_.00g003490"
"58","PGEN_.00g003510"
"59","PGEN_.00g003520"
"60","PGEN_.00g003590"
"61","PGEN_.00g003610"
"62","PGEN_.00g003630"
"63","PGEN_.00g003710"
"64","PGEN_.00g003820"
"65","PGEN_.00g004040"
"66","PGEN_.00g004050"
"67","PGEN_.00g004100"
"68","PGEN_.00g004110"
"69","PGEN_.00g004130"
"70","PGEN_.00g004160"
"71","PGEN_.00g004220"
"72","PGEN_.00g004280"
"73","PGEN_.00g004390"
"74","PGEN_.00g004400"
"75","PGEN_.00g004460"
"76","PGEN_.00g004510"
"77","PGEN_.00g004560"
"78","PGEN_.00g004610"
"79","PGEN_.00g004650"
"80","PGEN_.00g004660"
"81","PGEN_.00g004670"
"82","PGEN_.00g004690"
"83","PGEN_.00g004720"
"84","PGEN_.00g004730"
"85","PGEN_.00g004740"
"86","PGEN_.00g004830"
"87","PGEN_.00g004840"
"88","PGEN_.00g004850"
"89","PGEN_.00g004860"
"90","PGEN_.00g004890"
"91","PGEN_.00g005010"
"92","PGEN_.00g005030"
"93","PGEN_.00g005130"
"94","PGEN_.00g005140"
"95","PGEN_.00g005200"
"96","PGEN_.00g005250"
"97","PGEN_.00g005260"
"98","PGEN_.00g005280"
"99","PGEN_.00g005310"
"100","PGEN_.00g005330"
"101","PGEN_.00g005340"
"102","PGEN_.00g005380"
"103","PGEN_.00g005400"
"104","PGEN_.00g005480"
"105","PGEN_.00g005660"
"106","PGEN_.00g005670"
"107","PGEN_.00g005680"
"108","PGEN_.00g005700"
"109","PGEN_.00g005770"
"110","PGEN_.00g005800"
