"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"105","GO:0062023",0.0405744714658849,0.990419285899694,4,146,"collagen-containing extracellular matrix","CC"
"52","GO:0019897",0.000374741071297314,0.999989166061526,3,16,"extrinsic component of plasma membrane","CC"
"20","GO:0005614",0.0173620729372085,0.999924502602923,1,2,"interstitial matrix","CC"
"21","GO:0005927",0.0260718187189051,0.999772330584906,1,3,"muscle tendon junction","CC"
"50","GO:0017059",0.0385865698931975,0.999436361944065,1,4,"serine C-palmitoyltransferase complex","CC"
"56","GO:0030124",0.0161987242975973,0.999934320046169,1,2,"AP-4 adaptor complex","CC"
"75","GO:0044214",0.035667259668276,0.999519026564784,1,4,"spanning component of plasma membrane","CC"
"108","GO:0070938",0.0281928970655314,0.999733521632592,1,3,"contractile ring","CC"
"128","GO:0090533",0.0107149780194179,1,1,1,"cation-transporting ATPase complex","CC"
"134","GO:0098966",0.0256946007010717,0.999778908998628,1,3,"perisynaptic extracellular matrix","CC"
