"","x"
"1","GO:0032259"
"2","GO:0042409"
"3","GO:0046872"
"4","GO:0001666"
"5","GO:0001963"
"6","GO:0001975"
"7","GO:0004497"
"8","GO:0004511"
"9","GO:0005634"
"10","GO:0005737"
"11","GO:0005739"
"12","GO:0005790"
"13","GO:0005829"
"14","GO:0006585"
"15","GO:0006631"
"16","GO:0006665"
"17","GO:0007507"
"18","GO:0007601"
"19","GO:0007605"
"20","GO:0007612"
"21","GO:0007613"
"22","GO:0007617"
"23","GO:0007626"
"24","GO:0008016"
"25","GO:0008021"
"26","GO:0008198"
"27","GO:0008199"
"28","GO:0009414"
"29","GO:0009416"
"30","GO:0009635"
"31","GO:0009651"
"32","GO:0009887"
"33","GO:0009898"
"34","GO:0010038"
"35","GO:0010043"
"36","GO:0010259"
"37","GO:0014070"
"38","GO:0014823"
"39","GO:0015842"
"40","GO:0016137"
"41","GO:0016597"
"42","GO:0017085"
"43","GO:0018963"
"44","GO:0019825"
"45","GO:0019899"
"46","GO:0019904"
"47","GO:0021987"
"48","GO:0030424"
"49","GO:0030425"
"50","GO:0030659"
"51","GO:0031410"
"52","GO:0031667"
"53","GO:0032355"
"54","GO:0032496"
"55","GO:0033076"
"56","GO:0033162"
"57","GO:0034617"
"58","GO:0035094"
"59","GO:0035176"
"60","GO:0035240"
"61","GO:0035690"
"62","GO:0035900"
"63","GO:0035902"
"64","GO:0042136"
"65","GO:0042214"
"66","GO:0042416"
"67","GO:0042418"
"68","GO:0042421"
"69","GO:0042423"
"70","GO:0042462"
"71","GO:0042493"
"72","GO:0042745"
"73","GO:0042755"
"74","GO:0042802"
"75","GO:0043005"
"76","GO:0043025"
"77","GO:0043195"
"78","GO:0043204"
"79","GO:0043434"
"80","GO:0045471"
"81","GO:0045472"
"82","GO:0046684"
"83","GO:0048545"
"84","GO:0048596"
"85","GO:0050890"
"86","GO:0051412"
"87","GO:0051602"
"88","GO:0052314"
"89","GO:0070848"
"90","GO:0071287"
"91","GO:0071312"
"92","GO:0071316"
"93","GO:0071333"
"94","GO:0071363"
"95","GO:0000724"
"96","GO:0003676"
"97","GO:0005524"
"98","GO:0005694"
"99","GO:0006268"
"100","GO:0006281"
"101","GO:0006310"
"102","GO:0006974"
"103","GO:0009378"
"104","GO:0009506"
"105","GO:0032508"
"106","GO:0043138"
"107","GO:0051276"
"108","GO:0070417"
"109","GO:0071215"
"110","GO:0031398"
"111","GO:0043027"
"112","GO:0043154"
"113","GO:0060546"
"114","GO:0061630"
"115","GO:1990001"
"116","GO:0004748"
"117","GO:0009263"
"118","GO:0005164"
"119","GO:0005813"
"120","GO:0006915"
"121","GO:0007165"
"122","GO:0008270"
"123","GO:0031625"
"124","GO:0031996"
"125","GO:0032991"
"126","GO:0035631"
"127","GO:0042981"
"128","GO:0043123"
"129","GO:0051091"
"130","GO:0051092"
"131","GO:0005185"
"132","GO:0005576"
"133","GO:0005783"
"134","GO:0005789"
"135","GO:0012505"
"136","GO:0016021"
"137","GO:0007219"
"138","GO:0016567"
"139","GO:0016740"
"140","GO:0007623"
"141","GO:0009881"
"142","GO:0018298"
"143","GO:0032922"
"144","GO:0042752"
"145","GO:0042754"
"146","GO:0043153"
"147","GO:0045892"
"148","GO:0071949"
"149","GO:0000462"
"150","GO:0001650"
"151","GO:0003723"
"152","GO:0005654"
"153","GO:0005730"
"154","GO:0006364"
"155","GO:0016020"
"156","GO:0030686"
"157","GO:0032040"
"158","GO:0034455"
"159","GO:0045943"
"160","GO:2000234"
"161","GO:0003677"
"162","GO:0003713"
"163","GO:0004843"
"164","GO:0006338"
"165","GO:0008237"
"166","GO:0035522"
"167","GO:0036459"
"168","GO:0042393"
"169","GO:0045944"
"170","GO:0004930"
"171","GO:0005886"
"172","GO:0005887"
"173","GO:0007157"
"174","GO:0007166"
"175","GO:0007189"
