"gene"	"adj.pval.treatment"
"PGEN_.00g165230"	1.30470836692325e-288
"PGEN_.00g043790"	3.63775311896135e-210
"PGEN_.00g345410"	1.7184893167571e-162
"PGEN_.00g049950"	3.25385644868225e-123
"PGEN_.00g116710"	4.22353936292422e-121
"PGEN_.00g275080"	3.72904702353344e-116
"PGEN_.00g282120"	3.89274664177227e-106
"PGEN_.00g198010"	3.24220515978942e-95
"PGEN_.00g130700"	9.98355481237555e-87
"PGEN_.00g277910"	3.5581042648159e-85
"PGEN_.00g127230"	5.78553841523463e-85
"PGEN_.00g075700"	7.39107765647679e-69
"PGEN_.00g118900"	1.96589279252282e-54
"PGEN_.00g034240"	3.11395569396123e-51
"PGEN_.00g026390"	3.05855220731865e-50
"PGEN_.00g167890"	6.53383761340908e-49
"PGEN_.00g343550"	2.38088108983402e-47
"PGEN_.00g073580"	1.62998260634609e-45
"PGEN_.00g295480"	3.77032418861279e-45
"PGEN_.00g140310"	5.27289401880149e-42
"PGEN_.00g104730"	1.47216114102325e-40
"PGEN_.00g149270"	9.10112961492921e-40
"PGEN_.00g322650"	6.21786844472049e-39
"PGEN_.00g065810"	3.51621624134418e-37
"PGEN_.00g129780"	3.34238122362722e-34
"PGEN_.00g133900"	2.09532088156231e-33
"PGEN_.00g186290"	3.84720192407329e-32
"PGEN_.00g261240"	3.95746760726207e-32
"PGEN_.00g279140"	4.33663941559202e-32
"PGEN_.00g036880"	6.97215194851785e-32
"PGEN_.00g068720"	1.18893088534073e-31
"PGEN_.00g139560"	1.1627905128885e-27
"PGEN_.00g231770"	2.38491594613431e-27
"PGEN_.00g291920"	1.27295131179581e-26
"PGEN_.00g233360"	1.32304852598568e-26
"PGEN_.00g139570"	1.5145588799003e-26
"PGEN_.00g316200"	2.3795924073974e-25
"PGEN_.00g120380"	3.3548057103021e-25
"PGEN_.00g081970"	1.21277860420896e-23
"PGEN_.00g208580"	2.07059469491715e-23
"PGEN_.00g198290"	5.31244261877464e-23
"PGEN_.00g034230"	2.07709123023337e-22
"PGEN_.00g271690"	7.14897143172783e-22
"PGEN_.00g291910"	2.01041719168378e-21
"PGEN_.00g317860"	1.88196965333915e-19
"PGEN_.00g017320"	2.06356748171059e-19
"PGEN_.00g168070"	2.28194965464875e-19
"PGEN_.00g083720"	7.39993654413765e-18
"PGEN_.00g295080"	8.78138529728774e-18
"PGEN_.00g071370"	8.79457911765967e-18
"PGEN_.00g213350"	1.52179251136889e-17
"PGEN_.00g166530"	2.28249179655276e-17
"PGEN_.00g279870"	5.75359695593736e-17
"PGEN_.00g001170"	7.46116355541912e-17
"PGEN_.00g035080"	3.12116151225601e-16
"PGEN_.00g299000"	3.12116151225601e-16
"PGEN_.00g278820"	1.18310598215687e-15
"PGEN_.00g103590"	8.26268856753429e-15
"PGEN_.00g294360"	9.64038509618319e-15
"PGEN_.00g149640"	1.05956871354358e-14
"PGEN_.00g075170"	2.54222614266371e-14
"PGEN_.00g302860"	2.72381341115097e-14
"PGEN_.00g067240"	3.2223023033734e-14
"PGEN_.00g139540"	6.17029375480073e-14
"PGEN_.00g328520"	6.17029375480073e-14
"PGEN_.00g328960"	9.83406935462925e-14
"PGEN_.00g106980"	1.12857544959113e-13
"PGEN_.00g197680"	1.12857544959113e-13
"PGEN_.00g069870"	2.76537071508365e-13
"PGEN_.00g271680"	3.26599593919398e-13
"PGEN_.00g123920"	4.36414145290199e-13
"PGEN_.00g083000"	4.59615658912402e-13
"PGEN_.00g342450"	4.59615658912402e-13
"PGEN_.00g235940"	5.8155348949753e-13
"PGEN_.00g010200"	5.9422485328224e-13
"PGEN_.00g003330"	8.32124555909596e-13
"PGEN_.00g127570"	2.35457211895651e-12
"PGEN_.00g286080"	2.55650036636155e-12
"PGEN_.00g257440"	3.06673546663515e-12
"PGEN_.00g143270"	3.66100929124529e-12
"PGEN_.00g069450"	3.6662477397628e-12
"PGEN_.00g116210"	3.6662477397628e-12
"PGEN_.00g316170"	7.80242471740883e-12
"PGEN_.00g326080"	7.80242471740883e-12
"PGEN_.00g175550"	7.95315560515245e-12
"PGEN_.00g131450"	1.28833232928103e-11
"PGEN_.00g095890"	2.13972397797621e-11
"PGEN_.00g183880"	2.13972397797621e-11
"PGEN_.00g279710"	3.05954934117183e-11
"PGEN_.00g080730"	3.47098601457831e-11
"PGEN_.00g263900"	3.76438202800254e-11
"PGEN_.00g224670"	3.9304267328561e-11
"PGEN_.00g063860"	4.06658513605540e-11
"PGEN_.00g164020"	4.62115702849041e-11
"PGEN_.00g193590"	7.19004098292232e-11
"PGEN_.00g108510"	8.75725669613607e-11
"PGEN_.00g171780"	9.97113976427597e-11
"PGEN_.00g243120"	1.07933098275466e-10
"PGEN_.00g109080"	1.12839817184785e-10
"PGEN_.00g077070"	1.2011252793742e-10
"PGEN_.00g090920"	1.60607422750918e-10
"PGEN_.00g150000"	2.19897441995084e-10
"PGEN_.00g050170"	2.26966987365854e-10
"PGEN_.00g186170"	2.88555525854004e-10
"PGEN_.00g334400"	3.5490586962976e-10
"PGEN_.00g122230"	3.69600512202783e-10
"PGEN_.00g097550"	3.79287266928977e-10
"PGEN_.00g204470"	4.26510178276057e-10
"PGEN_.00g169460"	5.07669925849941e-10
"PGEN_.00g285330"	5.26214336555898e-10
"PGEN_.00g076180"	5.98512183227016e-10
"PGEN_.00g220380"	6.42259222899004e-10
"PGEN_.00g240940"	7.20664621761544e-10
"PGEN_.00g050180"	1.02899658962513e-09
"PGEN_.00g201390"	1.22589951814088e-09
"PGEN_.00g092070"	1.24407425189064e-09
"PGEN_.00g079760"	1.46053042442462e-09
"PGEN_.00g333690"	1.75310853031608e-09
"PGEN_.00g108700"	1.91943902735236e-09
"PGEN_.00g337850"	2.01660825365111e-09
"PGEN_.00g216290"	2.66241519009438e-09
"PGEN_.00g010510"	2.83944271659738e-09
"PGEN_.00g290940"	3.46291969468162e-09
"PGEN_.00g208420"	4.39124576399093e-09
"PGEN_.00g134400"	7.04544646765944e-09
"PGEN_.00g308970"	8.06522706251792e-09
"PGEN_.00g229890"	8.18036069460399e-09
"PGEN_.00g247700"	1.11812865797677e-08
"PGEN_.00g309800"	1.2523505381917e-08
"PGEN_.00g065700"	1.76680633494292e-08
"PGEN_.00g170010"	2.00165589730783e-08
"PGEN_.00g277430"	2.00165589730783e-08
"PGEN_.00g131080"	2.1278593201879e-08
"PGEN_.00g151730"	2.32142954786226e-08
"PGEN_.00g052230"	2.7363594145184e-08
"PGEN_.00g134600"	2.80764790035295e-08
"PGEN_.00g073310"	2.90575433935238e-08
"PGEN_.00g065330"	3.49043169063813e-08
"PGEN_.00g087040"	4.1632128690085e-08
"PGEN_.00g273120"	4.1632128690085e-08
"PGEN_.00g055620"	5.4380359755602e-08
"PGEN_.00g106060"	5.59163833829015e-08
"PGEN_.00g086840"	6.50474063694016e-08
"PGEN_.00g013900"	7.01528658880582e-08
"PGEN_.00g308600"	7.33652401710962e-08
"PGEN_.00g312690"	9.32882632808692e-08
"PGEN_.00g145190"	9.4408700390056e-08
"PGEN_.00g086400"	1.01447779613976e-07
"PGEN_.00g192640"	1.06402058428914e-07
"PGEN_.00g080870"	1.07001251708592e-07
"PGEN_.00g227690"	1.15166407961207e-07
"PGEN_.00g309060"	1.1871320728202e-07
"PGEN_.00g025100"	1.18960913659052e-07
"PGEN_.00g028040"	1.18960913659052e-07
"PGEN_.00g040000"	1.3280297932969e-07
"PGEN_.00g228070"	1.42085663191848e-07
"PGEN_.00g049230"	1.56517409318115e-07
"PGEN_.00g210020"	1.62059986406799e-07
"PGEN_.00g277700"	1.88967323017605e-07
"PGEN_.00g069550"	1.90777279840878e-07
"PGEN_.00g330150"	2.76271667193264e-07
"PGEN_.00g233560"	3.29411102905541e-07
"PGEN_.00g315900"	3.31995557268282e-07
"PGEN_.00g016720"	3.40979756774123e-07
"PGEN_.00g090230"	3.43577783722719e-07
"PGEN_.00g215230"	5.58847133012162e-07
"PGEN_.00g037140"	6.89080319208239e-07
"PGEN_.00g166960"	7.06473342826864e-07
"PGEN_.00g108490"	8.7564771216622e-07
"PGEN_.00g043300"	8.85479637913018e-07
"PGEN_.00g242670"	9.92065843617829e-07
"PGEN_.00g015010"	1.04279156491407e-06
"PGEN_.00g068680"	1.04456015826096e-06
"PGEN_.00g095430"	1.07092968648873e-06
"PGEN_.00g326070"	1.186028606726e-06
"PGEN_.00g228480"	1.3724909299495e-06
"PGEN_.00g086030"	1.38270093436239e-06
"PGEN_.00g245230"	1.46999454306734e-06
"PGEN_.00g153580"	1.5814891978872e-06
"PGEN_.00g067250"	1.85379199796847e-06
"PGEN_.00g014370"	2.05619911356504e-06
"PGEN_.00g044020"	2.27386840731872e-06
"PGEN_.00g193010"	2.38043072504362e-06
"PGEN_.00g211010"	2.45701491665724e-06
"PGEN_.00g241680"	2.67980106991674e-06
"PGEN_.00g187810"	2.69300361718067e-06
"PGEN_.00g034820"	2.74103410287668e-06
"PGEN_.00g160750"	2.74909468579827e-06
"PGEN_.00g303130"	2.76006114827136e-06
"PGEN_.00g074470"	2.98496358572487e-06
"PGEN_.00g054970"	3.61559395083771e-06
"PGEN_.00g254650"	3.68183374628434e-06
"PGEN_.00g236020"	4.40699015439464e-06
"PGEN_.00g291710"	4.40699015439464e-06
"PGEN_.00g066600"	4.88819515243053e-06
"PGEN_.00g069610"	4.94417187521176e-06
"PGEN_.00g316040"	5.73507388964471e-06
"PGEN_.00g192660"	6.05223799163604e-06
"PGEN_.00g265900"	6.32673126113961e-06
"PGEN_.00g177600"	6.33541374028405e-06
"PGEN_.00g304920"	6.72436113666199e-06
"PGEN_.00g068710"	7.6917105813384e-06
"PGEN_.00g211830"	8.33429332391007e-06
"PGEN_.00g299150"	8.33429332391007e-06
"PGEN_.00g240010"	8.59084823507966e-06
"PGEN_.00g198300"	8.86409775813187e-06
"PGEN_.00g012020"	9.48153498516734e-06
"PGEN_.00g110040"	1.25560728038104e-05
"PGEN_.00g221600"	1.26003468780014e-05
"PGEN_.00g100210"	1.27534844780271e-05
"PGEN_.00g291470"	1.28027035422148e-05
"PGEN_.00g060650"	1.38178534897576e-05
"PGEN_.00g017280"	1.44638576399178e-05
"PGEN_.00g284080"	1.54544194923994e-05
"PGEN_.00g056380"	1.56554878815809e-05
"PGEN_.00g337830"	1.59499104521907e-05
"PGEN_.00g018310"	1.65730444065069e-05
"PGEN_.00g128250"	1.75606924678107e-05
"PGEN_.00g018260"	1.82209775036136e-05
"PGEN_.00g277360"	2.18262925350665e-05
"PGEN_.00g113810"	2.37027667780287e-05
"PGEN_.00g284780"	2.37027667780287e-05
"PGEN_.00g290440"	2.38813059478079e-05
"PGEN_.00g284710"	2.57752026371384e-05
"PGEN_.00g034500"	2.64287482044427e-05
