"gene"	"adj.pval.treatment"
"PGEN_.00g042060"	2.66958897093352e-05
"PGEN_.00g067300"	2.78707451271715e-05
"PGEN_.00g289090"	2.79663988445674e-05
"PGEN_.00g282450"	2.80090584924018e-05
"PGEN_.00g032670"	3.07532140087939e-05
"PGEN_.00g198310"	3.17435699628154e-05
"PGEN_.00g220560"	3.26616983777862e-05
"PGEN_.00g063940"	3.3691894521596e-05
"PGEN_.00g080550"	3.76808153681226e-05
"PGEN_.00g340240"	3.80123572250385e-05
"PGEN_.00g130130"	3.92897946986058e-05
"PGEN_.00g169790"	3.92897946986058e-05
"PGEN_.00g328690"	3.94519626560265e-05
"PGEN_.00g062060"	3.99971000753664e-05
"PGEN_.00g081910"	4.09385063890423e-05
"PGEN_.00g254640"	4.31670656415039e-05
"PGEN_.00g316050"	4.31670656415039e-05
"PGEN_.00g110260"	4.43673910783518e-05
"PGEN_.00g206810"	4.5224399725376e-05
"PGEN_.00g100950"	4.64671385314935e-05
"PGEN_.00g310520"	4.87027927931461e-05
"PGEN_.00g231140"	4.87553573612446e-05
"PGEN_.00g059600"	5.03732160507831e-05
"PGEN_.00g139610"	5.08446707276707e-05
"PGEN_.00g055660"	5.18556385116086e-05
"PGEN_.00g249400"	5.22151725440859e-05
"PGEN_.00g258480"	5.39680286227771e-05
"PGEN_.00g081000"	5.71559959478455e-05
"PGEN_.00g013500"	5.97981435116468e-05
"PGEN_.00g247180"	6.00601805843899e-05
"PGEN_.00g104420"	6.0764110795877e-05
"PGEN_.00g027240"	6.08041071711539e-05
"PGEN_.00g144390"	6.21228980960335e-05
"PGEN_.00g004050"	6.51558876138794e-05
"PGEN_.00g062900"	6.84619456718157e-05
"PGEN_.00g010450"	6.97565456378379e-05
"PGEN_.00g134810"	7.25214358208447e-05
"PGEN_.00g222990"	7.90297016512116e-05
"PGEN_.00g159640"	8.05135121506716e-05
"PGEN_.00g348620"	9.17661035872614e-05
"PGEN_.00g017070"	9.36503694880675e-05
"PGEN_.00g019750"	9.36503694880675e-05
"PGEN_.00g013580"	9.82913391569973e-05
"PGEN_.00g166050"	0.000100537174843055
"PGEN_.00g009010"	0.000102031793008364
"PGEN_.00g229290"	0.000108809164121385
"PGEN_.00g066340"	0.000112044076940847
"PGEN_.00g245920"	0.000112044076940847
"PGEN_.00g268760"	0.000115272590621004
"PGEN_.00g336970"	0.000122948502422777
"PGEN_.00g000720"	0.000130783415946329
"PGEN_.00g017150"	0.000130783415946329
"PGEN_.00g054290"	0.000131900767963761
"PGEN_.00g139530"	0.000143902165080685
"PGEN_.00g027530"	0.000144965414821679
"PGEN_.00g279730"	0.000145281204914492
"PGEN_.00g252700"	0.000145333668578858
"PGEN_.00g097800"	0.000149161809556956
"PGEN_.00g326670"	0.000149161809556956
"PGEN_.00g029590"	0.000167274914336513
"PGEN_.00g080210"	0.000172964989415348
"PGEN_.00g104460"	0.000174501464065209
"PGEN_.00g166720"	0.000177945829621705
"PGEN_.00g077420"	0.000185604389794746
"PGEN_.00g132650"	0.000206589551919181
"PGEN_.00g167700"	0.000206909520641
"PGEN_.00g209710"	0.000207705527780582
"PGEN_.00g280060"	0.000210776166104654
"PGEN_.00g252030"	0.000222647851809151
"PGEN_.00g173170"	0.00022804195980662
"PGEN_.00g051430"	0.000230903736940274
"PGEN_.00g038260"	0.00023156672689565
"PGEN_.00g062630"	0.000239588044053736
"PGEN_.00g206430"	0.000239588044053736
"PGEN_.00g236120"	0.000246222672707558
"PGEN_.00g330320"	0.000248861681159278
"PGEN_.00g263790"	0.000255186933408191
"PGEN_.00g264480"	0.000255450287349528
"PGEN_.00g101840"	0.000265388102327244
"PGEN_.00g060450"	0.000265930399804266
"PGEN_.00g007340"	0.00026872587429312
"PGEN_.00g043360"	0.00026872587429312
"PGEN_.00g271330"	0.000291858891543839
"PGEN_.00g017050"	0.000296679677642752
"PGEN_.00g309130"	0.000328160759105904
"PGEN_.00g317290"	0.000331674948933368
"PGEN_.00g211020"	0.000346586401681985
"PGEN_.00g305680"	0.000352867222794435
"PGEN_.00g207530"	0.000354762236954178
"PGEN_.00g102760"	0.000364959880409328
"PGEN_.00g057650"	0.000376623787655412
"PGEN_.00g135810"	0.0003876042462819
"PGEN_.00g311750"	0.000387841796590917
"PGEN_.00g304250"	0.000410943263392854
"PGEN_.00g049510"	0.00046221698864548
"PGEN_.00g065280"	0.000475141864397962
"PGEN_.00g304260"	0.000483503692765805
"PGEN_.00g133110"	0.000525531487893282
"PGEN_.00g101030"	0.000533268163163478
"PGEN_.00g009320"	0.000564162461790869
"PGEN_.00g263030"	0.000583032660031357
"PGEN_.00g090500"	0.000586870240708849
"PGEN_.00g150440"	0.000589845010677184
"PGEN_.00g303240"	0.000589845010677184
"PGEN_.00g159920"	0.000608858996323151
"PGEN_.00g283380"	0.000608858996323151
"PGEN_.00g347890"	0.000628941993951094
"PGEN_.00g069910"	0.000633985491965114
"PGEN_.00g279430"	0.000669424287850019
"PGEN_.00g115760"	0.000682405526501703
"PGEN_.00g148840"	0.000682405526501703
"PGEN_.00g234920"	0.000753448044953572
"PGEN_.00g049060"	0.000756970194472185
"PGEN_.00g274530"	0.000782221588868464
"PGEN_.00g233770"	0.000794258264075605
"PGEN_.00g063490"	0.000867028768281824
"PGEN_.00g129350"	0.000867028768281824
"PGEN_.00g285950"	0.000867028768281824
"PGEN_.00g312700"	0.000883640372023795
"PGEN_.00g246110"	0.000888907610082532
"PGEN_.00g031700"	0.000924590213329938
"PGEN_.00g259110"	0.000941306659954018
"PGEN_.00g153440"	0.000949118595781945
"PGEN_.00g042260"	0.000972950858550959
"PGEN_.00g125310"	0.000975247824036643
"PGEN_.00g011580"	0.000982591514099736
"PGEN_.00g078310"	0.000982591514099736
"PGEN_.00g047880"	0.000996571848632056
"PGEN_.00g111560"	0.00100911869259864
"PGEN_.00g116020"	0.00101489186883468
"PGEN_.00g261320"	0.00106755951879653
"PGEN_.00g126370"	0.00111001969106383
"PGEN_.00g206990"	0.00112584484465553
"PGEN_.00g220620"	0.00116800094811524
"PGEN_.00g269560"	0.0011768563580423
"PGEN_.00g017330"	0.0011881184001967
"PGEN_.00g250420"	0.00122205081151059
"PGEN_.00g097340"	0.00124364682324092
"PGEN_.00g249620"	0.00125254955598059
"PGEN_.00g107050"	0.00126680362078189
"PGEN_.00g308500"	0.00127429728856342
"PGEN_.00g082990"	0.00129241035057683
"PGEN_.00g046010"	0.00139560357030505
"PGEN_.00g194760"	0.00139908375222481
"PGEN_.00g270150"	0.00139908375222481
"PGEN_.00g125870"	0.00140415421740056
"PGEN_.00g098500"	0.00140512012221785
"PGEN_.00g148340"	0.00140512012221785
"PGEN_.00g232390"	0.00143445514493618
"PGEN_.00g075800"	0.00149799258927127
"PGEN_.00g116670"	0.00157853412119984
"PGEN_.00g272790"	0.00158446361953141
"PGEN_.00g124830"	0.0016007868073842
"PGEN_.00g341620"	0.0016007868073842
"PGEN_.00g299840"	0.00163729523331008
"PGEN_.00g348700"	0.00175823159181687
"PGEN_.00g076930"	0.00176969115725134
"PGEN_.00g164370"	0.00185757338079426
"PGEN_.00g005660"	0.00193871303220277
"PGEN_.00g003320"	0.00194149228721815
"PGEN_.00g220460"	0.00194149228721815
"PGEN_.00g304970"	0.00195596599261518
"PGEN_.00g128260"	0.00200062662672737
"PGEN_.00g006890"	0.00201211594818723
"PGEN_.00g139870"	0.00204533562459156
"PGEN_.00g278670"	0.00207826638540684
"PGEN_.00g073180"	0.00208609870535101
"PGEN_.00g114090"	0.00208609870535101
"PGEN_.00g126970"	0.00208713887495153
"PGEN_.00g254180"	0.00208713887495153
"PGEN_.00g276560"	0.00212955635269289
"PGEN_.00g036790"	0.0021848000725822
"PGEN_.00g137880"	0.00220759005781086
"PGEN_.00g239980"	0.00220794536932875
"PGEN_.00g140110"	0.00228618927290614
"PGEN_.00g169510"	0.0023402741045699
"PGEN_.00g119520"	0.00241792184822169
"PGEN_.00g238170"	0.00244205279295723
"PGEN_.00g345150"	0.00246767470199075
"PGEN_.00g329510"	0.00249648599402306
"PGEN_.00g309470"	0.00267647394697991
"PGEN_.00g041570"	0.00284544915484422
"PGEN_.00g077300"	0.00287286642836909
"PGEN_.00g062840"	0.0029124558945319
"PGEN_.00g035760"	0.00293513438187521
"PGEN_.00g036720"	0.0030075942892352
"PGEN_.00g130990"	0.00307222812518697
"PGEN_.00g056230"	0.00309371942760855
"PGEN_.00g067860"	0.00311028341103771
"PGEN_.00g155730"	0.00331257449097676
"PGEN_.00g203450"	0.00334121222672968
"PGEN_.00g204480"	0.00334121222672968
"PGEN_.00g292360"	0.00337059402985498
"PGEN_.00g093680"	0.00345255415974166
"PGEN_.00g278620"	0.00345255415974166
"PGEN_.00g286240"	0.00350471349365434
"PGEN_.00g199570"	0.00355968184063304
"PGEN_.00g205480"	0.00355968184063304
"PGEN_.00g003720"	0.00359607070073966
"PGEN_.00g177130"	0.00379365680205011
"PGEN_.00g206250"	0.00396925299967989
"PGEN_.00g147630"	0.00398170421744516
"PGEN_.00g279490"	0.00400231353163242
"PGEN_.00g205410"	0.00410539442200225
"PGEN_.00g127990"	0.00414976173113233
"PGEN_.00g348730"	0.00415807868321539
"PGEN_.00g336030"	0.00425581337082155
"PGEN_.00g301440"	0.00430436072419834
"PGEN_.00g312440"	0.00430533361321242
"PGEN_.00g150310"	0.00430536868696455
"PGEN_.00g104990"	0.00431265641785393
"PGEN_.00g256280"	0.00438032260364062
"PGEN_.00g072260"	0.00439561497746984
"PGEN_.00g242340"	0.00439561497746984
"PGEN_.00g202890"	0.00465086331280268
"PGEN_.00g198870"	0.00468460562416848
"PGEN_.00g066760"	0.00472567510855671
"PGEN_.00g304270"	0.00483660052888282
"PGEN_.00g020340"	0.00485421490142356
"PGEN_.00g255220"	0.00490311601387371
"PGEN_.00g164190"	0.00492348729281725
"PGEN_.00g208340"	0.00497266733933713
"PGEN_.00g336990"	0.00500041961166383
"PGEN_.00g174670"	0.00510873132989795
"PGEN_.00g009310"	0.00514237843453836
"PGEN_.00g237810"	0.00515770094528927
"PGEN_.00g179430"	0.00515825184593843
"PGEN_.00g291200"	0.00520457113852069
"PGEN_.00g006120"	0.00536165984914145
"PGEN_.00g133680"	0.00536165984914145
"PGEN_.00g072980"	0.00538235140298219
"PGEN_.00g324760"	0.00538235140298219
"PGEN_.00g186060"	0.00539235558827324
"PGEN_.00g234300"	0.00545056828900257
"PGEN_.00g000280"	0.00567281456865247
"PGEN_.00g110560"	0.005675221013152
"PGEN_.00g131190"	0.00589822031862465
"PGEN_.00g067840"	0.00596111627671453
"PGEN_.00g030310"	0.00608381948830875
"PGEN_.00g291360"	0.00621462671065331
"PGEN_.00g317170"	0.00630208776051101
"PGEN_.00g219760"	0.00644160901178098
"PGEN_.00g147620"	0.00656818241916485
"PGEN_.00g101110"	0.00661286041007193
"PGEN_.00g151020"	0.00673500195104467
"PGEN_.00g171020"	0.00674855475619299
"PGEN_.00g335180"	0.00674855475619299
"PGEN_.00g118040"	0.00679862824351943
"PGEN_.00g242120"	0.00680500010802313
"PGEN_.00g299180"	0.00680500010802313
"PGEN_.00g282270"	0.00683454319596942
"PGEN_.00g349360"	0.00683454319596942
"PGEN_.00g097530"	0.00692683466774468
"PGEN_.00g275360"	0.00692683466774468
"PGEN_.00g135570"	0.00694245205858456
"PGEN_.00g171360"	0.00696648749021404
"PGEN_.00g309570"	0.00699232361507253
"PGEN_.00g059710"	0.00731080888689233
"PGEN_.00g207660"	0.00742172905858278
"PGEN_.00g116850"	0.00744294917143826
"PGEN_.00g047580"	0.00745121625071219
"PGEN_.00g259230"	0.00747180991049848
"PGEN_.00g242100"	0.00748008981200177
"PGEN_.00g040360"	0.00750972079406615
"PGEN_.00g080980"	0.00750972079406615
"PGEN_.00g101020"	0.00757655908928367
"PGEN_.00g259150"	0.00762371746189516
"PGEN_.00g234520"	0.00774229001970731
"PGEN_.00g237150"	0.00788653670006639
"PGEN_.00g213880"	0.00810317362203443
"PGEN_.00g035820"	0.0082305446043373
"PGEN_.00g208160"	0.00825377408486515
"PGEN_.00g031120"	0.00845787622429951
"PGEN_.00g221860"	0.00850237009688432
"PGEN_.00g132060"	0.00854253536418903
"PGEN_.00g083830"	0.00855441974704793
"PGEN_.00g234980"	0.00855441974704793
"PGEN_.00g234820"	0.00865753421258355
"PGEN_.00g015800"	0.00866241581055026
"PGEN_.00g075910"	0.00866241581055026
"PGEN_.00g046310"	0.0087680198882451
"PGEN_.00g065950"	0.00898781535602424
"PGEN_.00g259540"	0.00901525895253652
"PGEN_.00g339890"	0.00901525895253652
"PGEN_.00g119570"	0.00916941597534407
"PGEN_.00g299810"	0.0092554519281381
"PGEN_.00g185010"	0.00937766847488636
"PGEN_.00g004660"	0.00947530194983041
"PGEN_.00g004510"	0.00948400245137657
"PGEN_.00g113740"	0.00959895115245273
"PGEN_.00g051440"	0.00967821651399364
"PGEN_.00g066200"	0.00967821651399364
"PGEN_.00g134790"	0.00967821651399364
"PGEN_.00g170240"	0.00967821651399364
"PGEN_.00g030300"	0.0102395501801494
"PGEN_.00g087520"	0.0102395501801494
"PGEN_.00g058070"	0.0103518812538946
"PGEN_.00g321190"	0.0103528057064024
"PGEN_.00g273070"	0.010611669040553
"PGEN_.00g233470"	0.0108087159442748
"PGEN_.00g333540"	0.0109151391974097
"PGEN_.00g267200"	0.0110622560429202
"PGEN_.00g253780"	0.0112980860044613
"PGEN_.00g164900"	0.0112993638087574
"PGEN_.00g196380"	0.0113539282072798
"PGEN_.00g173630"	0.0115186906418915
"PGEN_.00g142500"	0.0115612454483742
"PGEN_.00g105220"	0.0116013961067741
"PGEN_.00g271920"	0.0116379941470698
"PGEN_.00g203210"	0.0116698050833527
"PGEN_.00g022180"	0.011738357073951
"PGEN_.00g179130"	0.011738357073951
"PGEN_.00g140750"	0.011744764998919
"PGEN_.00g020710"	0.0117678474191726
"PGEN_.00g337050"	0.0117861129076551
"PGEN_.00g171350"	0.0120620312575807
"PGEN_.00g207540"	0.012074973073542
"PGEN_.00g196390"	0.0121439669468005
"PGEN_.00g349440"	0.0121439669468005
"PGEN_.00g119300"	0.0122049793661006
"PGEN_.00g269250"	0.0123408049362014
"PGEN_.00g070630"	0.0123466477358793
"PGEN_.00g274790"	0.0123466477358793
"PGEN_.00g111670"	0.0126095904962081
"PGEN_.00g175660"	0.0126095904962081
"PGEN_.00g144300"	0.0129497764482774
"PGEN_.00g199470"	0.0131085498853196
"PGEN_.00g050270"	0.0131993181259566
"PGEN_.00g245320"	0.0131993181259566
"PGEN_.00g096230"	0.0132102743232045
"PGEN_.00g340570"	0.0132102743232045
"PGEN_.00g213500"	0.0132248327595873
"PGEN_.00g053670"	0.0132445251071559
"PGEN_.00g264390"	0.0134276649321727
"PGEN_.00g329240"	0.0134989624783679
"PGEN_.00g229990"	0.0138752953594051
"PGEN_.00g005280"	0.0139769081812467
"PGEN_.00g229850"	0.0140176771962996
"PGEN_.00g087310"	0.0141355932536502
"PGEN_.00g281640"	0.0142443221794112
"PGEN_.00g280420"	0.0143882069404294
"PGEN_.00g055230"	0.0144984794282287
"PGEN_.00g019050"	0.0145479681407003
"PGEN_.00g226840"	0.0145479681407003
"PGEN_.00g272660"	0.0146464387643853
"PGEN_.00g031500"	0.0147321366074148
"PGEN_.00g004860"	0.0148347488909332
"PGEN_.00g150810"	0.0150357279229753
"PGEN_.00g208050"	0.0150357279229753
"PGEN_.00g279760"	0.0150481480105411
"PGEN_.00g298850"	0.0151705791788689
"PGEN_.00g281980"	0.0152207043983893
"PGEN_.00g090860"	0.015407649900957
"PGEN_.00g099340"	0.0156186765160203
"PGEN_.00g336040"	0.0156186765160203
"PGEN_.00g223280"	0.0156773561610978
"PGEN_.00g091750"	0.015731080021347
"PGEN_.00g072570"	0.0157659660818071
"PGEN_.00g077330"	0.0157659660818071
"PGEN_.00g208650"	0.0157659660818071
"PGEN_.00g101990"	0.0158815169671378
"PGEN_.00g150150"	0.0159905334149405
"PGEN_.00g024960"	0.0159922278912296
"PGEN_.00g238380"	0.0159922278912296
"PGEN_.00g306890"	0.0161087084801812
"PGEN_.00g004560"	0.0161141291275789
"PGEN_.00g278540"	0.0161141291275789
"PGEN_.00g147680"	0.0166617733711855
"PGEN_.00g051410"	0.0167015096756542
"PGEN_.00g104930"	0.0167015096756542
"PGEN_.00g292950"	0.0167187596975769
"PGEN_.00g260830"	0.0170763742401776
"PGEN_.00g325600"	0.0170819972428965
"PGEN_.00g203340"	0.0170947804693506
"PGEN_.00g207680"	0.0173558004247162
"PGEN_.00g325450"	0.017418229753337
"PGEN_.00g039890"	0.0174941649879671
"PGEN_.00g004840"	0.0180417523405123
"PGEN_.00g075760"	0.0183517606456282
"PGEN_.00g101900"	0.0185380077190569
"PGEN_.00g164740"	0.0185970418706249
"PGEN_.00g083760"	0.0186890190854426
"PGEN_.00g076410"	0.0187204649560373
"PGEN_.00g057380"	0.0187419299811335
"PGEN_.00g026840"	0.0188833875127139
