"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"11344","GO:0071541",0.00220455832802209,0.999998859664029,1,2,"eukaryotic translation initiation factor 3 complex, eIF3m","CC"
"5690","GO:0031265",0.00227762769007863,0.999998782771837,1,2,"CD95 death-inducing signaling complex","CC"
"8023","GO:0043614",0.00228765609771712,0.999998772022761,1,2,"multi-eIF complex","CC"
"11343","GO:0071540",0.00231356955081637,0.99999874402802,1,2,"eukaryotic translation initiation factor 3 complex, eIF3e","CC"
"12068","GO:0097342",0.00347115615221922,0.999996228792714,1,3,"ripoptosome","CC"
"12338","GO:0099059",0.00803654539825163,0.999973967293705,1,7,"integral component of presynaptic active zone membrane","CC"
"11084","GO:0070852",0.00849394467017115,0.999970914251597,1,7,"cell body fiber","CC"
"1944","GO:0005852",0.00867763551269118,0.999969009570025,1,8,"eukaryotic translation initiation factor 3 complex","CC"
"6383","GO:0033290",0.00867763551269118,0.999969009570025,1,8,"eukaryotic 48S preinitiation complex","CC"
"8782","GO:0046658",0.00932056049303356,0.999964238081585,1,8,"anchored component of plasma membrane","CC"
"4305","GO:0016282",0.0109611701942961,0.999949098730059,1,10,"eukaryotic 43S preinitiation complex","CC"
"3414","GO:0009506",0.0113266013591303,0.999945640391701,1,10,"plasmodesma","CC"
"6003","GO:0032279",0.0213200177105795,0.999796538572336,1,19,"asymmetric synapse","CC"
"8047","GO:0043679",0.0312812807257658,0.999552572265481,1,28,"axon terminus","CC"
"9298","GO:0048786",0.0363299080377615,0.999392583673876,1,32,"presynaptic active zone","CC"
"1912","GO:0005791",0.0378434999415034,0.999339307716564,1,34,"rough endoplasmic reticulum","CC"
"7853","GO:0043198",0.0387072651561507,0.999307989264988,1,35,"dendritic shaft","CC"
"3843","GO:0012505",0.0436622259844179,0.999115221946415,1,39,"endomembrane system","CC"
"7857","GO:0043202",0.0445148435373717,0.999078873216991,1,41,"lysosomal lumen","CC"
"7850","GO:0043195",0.0481886540233596,0.998917835581399,1,43,"terminal bouton","CC"
"5372","GO:0030424",0.049052928350962,0.994940606924064,2,320,"axon","CC"
